dir,nelect,vbm,cbm,gap,direct
Ag2Ba1Ge1S1Se3_kesterite,560,2.207275,3.446066,1.238791,False
Ag2Ba1Ge1S1Te3_kesterite,560,3.309026,4.034172,0.725146,False
Ag2Ba1Ge1S2Se2_kesterite,560,2.574976,4.169858,1.594882,False
Ag2Ba1Ge1S2Se2_stannite,560,3.789027,5.117107,1.328080,True
Ag2Ba1Ge1S3Se1_kesterite,560,2.619539,4.118923,1.499384,False
Ag2Ba1Ge1S3Se1_stannite,560,4.048008,5.441120,1.393112,True
Ag2Ba1Ge1S4_kesterite,140,2.716871,4.504838,1.787967,False
Ag2Ba1Ge1S4_stannite,140,4.063375,6.005807,1.942432,True
Ag2Ba1Ge1Se2Te2_stannite,560,4.124457,4.956052,0.831595,True
Ag2Ba1Ge1Se4_kesterite,140,2.099968,2.972181,0.872213,False
Ag2Ba1Ge1Se4_stannite,140,3.183382,4.660407,1.477025,True
Ag2Ba1Ge1Te4_kesterite,140,3.882420,3.495740,0.000000,False
Ag2Ba1Ge1Te4_stannite,140,4.259644,5.106329,0.846685,True
Ag2Ba1Sn0.5Ge0.5S4_kesterite,560,2.976303,4.605063,1.628760,False
Ag2Ba1Sn0.5Ge0.5S4_stannite,560,3.499733,5.744095,2.244362,False
Ag2Ba1Sn0.5Ge0.5Se4_kesterite,560,2.437642,3.568396,1.130754,False
Ag2Ba1Sn0.5Ge0.5Se4_stannite,560,2.745299,4.299388,1.554089,True
Ag2Ba1Sn0.5Zr0.5S4_kesterite,552,3.359709,5.486967,2.127258,False
Ag2Ba1Sn0.5Zr0.5S4_stannite,552,3.536383,5.554364,2.017981,True
Ag2Ba1Sn0.5Zr0.5Se4_kesterite,552,3.314841,4.921631,1.606790,False
Ag2Ba1Sn0.5Zr0.5Se4_stannite,552,3.411782,4.922431,1.510649,False
Ag2Ba1Sn0.5Zr0.5Te4_stannite,552,5.389673,6.590377,1.200704,False
Ag2Ba1Sn1S1Se1Te2_stannite,560,3.193504,4.580789,1.387285,True
Ag2Ba1Sn1S1Se3_stannite,560,2.872824,4.462552,1.589728,False
Ag2Ba1Sn1S1Te3_kesterite,560,3.585185,4.272873,0.687688,True
Ag2Ba1Sn1S1Te3_stannite,560,3.526515,4.749873,1.223358,True
Ag2Ba1Sn1S2Se1Te1_kesterite,560,3.432726,4.149002,0.716276,True
Ag2Ba1Sn1S2Se1Te1_stannite,560,3.213894,4.804464,1.590570,True
Ag2Ba1Sn1S2Se2_kesterite,560,2.360363,3.851563,1.491200,False
Ag2Ba1Sn1S2Se2_stannite,560,2.932355,4.707938,1.775583,False
Ag2Ba1Sn1S2Te2_kesterite,560,3.281845,4.304137,1.022292,True
Ag2Ba1Sn1S2Te2_stannite,560,3.418782,5.035613,1.616831,False
Ag2Ba1Sn1S3Se1_stannite,560,3.333236,5.184930,1.851694,False
Ag2Ba1Sn1S3Te1_kesterite,560,3.760167,4.498236,0.738069,True
Ag2Ba1Sn1S3Te1_stannite,560,3.488523,5.160638,1.672115,True
Ag2Ba1Sn1S4_kesterite,140,3.239168,4.339745,1.100577,False
Ag2Ba1Sn1Se1Te3_kesterite,560,3.559925,4.238226,0.678301,True
Ag2Ba1Sn1Se2Te2_kesterite,560,3.048768,3.950082,0.901314,True
Ag2Ba1Sn1Se2Te2_stannite,560,3.042673,4.489240,1.446567,False
Ag2Ba1Sn1Se3Te1_kesterite,560,3.041063,3.749999,0.708936,True
Ag2Ba1Sn1Se3Te1_stannite,560,2.960572,4.393808,1.433236,False
Ag2Ba1Sn1Se4_kesterite,140,2.485692,3.369953,0.884261,False
