dir,nelect,vbm,cbm,gap,direct
Cs2Ba0.5Cd0.5Sn1S4_stannite,536,1.653242,2.909132,1.255890,False
Cs2Ba0.5Cd0.5Zr1S4_stannite,520,1.760658,3.515598,1.754940,False
Cs2Ba0.5Cd0.5Zr1Se4_stannite,520,1.642496,2.989906,1.347410,False
Cs2Ba0.5Cd0.5Zr1Te4_stannite,520,3.357001,4.158250,0.801249,False
Cs2Ba0.5Zn0.5Ge1S4_kesterite,536,1.293840,3.783728,2.489888,False
Cs2Ba0.5Zn0.5Ge1S4_stannite,536,1.762084,3.013687,1.251603,True
Cs2Ba0.5Zn0.5Sn1Te4_kesterite,536,1.117249,3.115065,1.997816,False
Cs2Ba0.5Zn0.5Zr1S4_kesterite,520,1.120167,3.876182,2.756015,True
Cs2Ba0.5Zn0.5Zr1Se4_kesterite,520,0.044176,3.019426,2.975250,True
Cs2Ba0.5Zn0.5Zr1Se4_stannite,520,1.563813,2.743980,1.180167,False
Cs2Ba1Ge0.5Zr0.5S4_kesterite,520,1.039318,3.943307,2.903989,True
Cs2Ba1Ge0.5Zr0.5Se4_kesterite,520,0.764982,2.534148,1.769166,True
Cs2Ba1Ge0.5Zr0.5Te4_stannite,520,2.546917,3.912044,1.365127,True
Cs2Ba1Ge1S2Te2_stannite,528,1.049635,2.626992,1.577357,True
Cs2Ba1Ge1S3Se1_stannite,528,0.631307,2.832526,2.201219,False
Cs2Ba1Ge1S4_kesterite,132,1.373944,3.644165,2.270221,True
Cs2Ba1Ge1S4_stannite,132,1.057645,3.359022,2.301377,True
Cs2Ba1Ge1Se3Te1_kesterite,528,1.827751,4.162369,2.334618,False
Cs2Ba1Ge1Se4_kesterite,132,0.916854,2.828721,1.911867,True
Cs2Ba1Ge1Se4_stannite,132,1.106609,2.924650,1.818041,True
Cs2Ba1Ge1Te4_kesterite,132,1.004490,2.603459,1.598969,False
Cs2Ba1Ge1Te4_stannite,132,1.367862,2.223068,0.855206,False
Cs2Ba1Sn0.5Ge0.5S4_kesterite,528,0.943303,3.804475,2.861172,True
Cs2Ba1Sn0.5Ge0.5S4_stannite,528,1.249482,3.739140,2.489658,True
Cs2Ba1Sn0.5Ge0.5Te4_stannite,528,0.491934,2.200857,1.708923,False
Cs2Ba1Sn0.5Zr0.5S4_kesterite,520,1.178962,4.229123,3.050161,True
Cs2Ba1Sn0.5Zr0.5S4_stannite,520,1.369313,4.041289,2.671976,True
Cs2Ba1Sn0.5Zr0.5Se4_kesterite,520,1.336082,3.840793,2.504711,True
Cs2Ba1Sn0.5Zr0.5Se4_stannite,520,1.588748,3.671777,2.083029,True
Cs2Ba1Sn0.5Zr0.5Te4_kesterite,520,3.520077,5.305914,1.785837,True
Cs2Ba1Sn0.5Zr0.5Te4_stannite,520,2.758346,3.907164,1.148818,False
Cs2Ba1Sn1S1Se3_stannite,528,1.376634,3.572291,2.195657,True
Cs2Ba1Sn1S2Se2_stannite,528,1.483701,3.768438,2.284737,True
Cs2Ba1Sn1S2Te2_stannite,528,0.931187,2.619965,1.688778,True
Cs2Ba1Sn1S3Se1_kesterite,528,1.869375,4.880827,3.011452,True
Cs2Ba1Sn1S3Se1_stannite,528,0.705340,3.180548,2.475208,True
Cs2Ba1Sn1S3Te1_stannite,528,1.232600,2.954839,1.722239,True
Cs2Ba1Sn1S4_kesterite,132,1.403578,3.947882,2.544304,True
Cs2Ba1Sn1S4_stannite,132,1.403619,3.517066,2.113447,True
Cs2Ba1Sn1Se3Te1_stannite,528,0.595846,2.170938,1.575092,True
Cs2Ba1Sn1Se4_kesterite,132,1.319443,3.320787,2.001344,True
Cs2Ba1Sn1Se4_stannite,132,1.427135,3.054890,1.627755,True
Cs2Ba1Sn1Te4_kesterite,132,2.612246,3.972447,1.360201,False
Cs2Ba1Sn1Te4_stannite,132,1.346393,2.252170,0.905777,False
Cs2Ba1Zr1S1Se1Te2_stannite,512,1.842582,4.254437,2.411855,False
Cs2Ba1Zr1S1Se2Te1_stannite,512,1.486936,4.150630,2.663694,False
Cs2Ba1Zr1S1Se3_stannite,512,1.050011,4.135454,3.085443,True
Cs2Ba1Zr1S2Se1Te1_stannite,512,0.847646,3.389077,2.541431,True
Cs2Ba1Zr1S2Se2_kesterite,512,0.094976,3.405872,3.310896,True
Cs2Ba1Zr1S2Se2_stannite,512,1.101517,4.324716,3.223199,True
Cs2Ba1Zr1S2Te2_stannite,512,0.752087,3.549017,2.796930,False
Cs2Ba1Zr1S3Se1_stannite,512,1.183717,4.462188,3.278471,True
Cs2Ba1Zr1S3Te1_stannite,512,1.070554,3.531450,2.460896,True
Cs2Ba1Zr1S4_kesterite,512,0.086069,3.752452,3.666383,True
Cs2Ba1Zr1S4_stannite,512,1.248623,4.632053,3.383430,True
Cs2Ba1Zr1Se1Te3_stannite,512,1.028633,3.263605,2.234972,True
Cs2Ba1Zr1Se2Te2_kesterite,512,2.883481,4.597268,1.713787,False
Cs2Ba1Zr1Se2Te2_stannite,512,1.141657,3.475427,2.333770,False
Cs2Ba1Zr1Se3Te1_stannite,512,0.777551,3.342819,2.565268,True
Cs2Ba1Zr1Se4_kesterite,512,1.362629,4.498417,3.135788,False
Cs2Ba1Zr1Se4_stannite,512,1.607731,4.390785,2.783054,True
Cs2Ca0.5Ba0.5Ge1S4_stannite,528,1.536399,3.851883,2.315484,True
Cs2Ca0.5Ba0.5Ge1Se4_stannite,528,1.318354,3.202076,1.883722,True
Cs2Ca0.5Ba0.5Sn1S4_stannite,528,1.501412,4.048715,2.547303,True
Cs2Ca0.5Ba0.5Sn1Se4_stannite,528,1.335618,3.307411,1.971793,True
Cs2Ca0.5Ba0.5Sn1Te4_stannite,528,2.934303,4.104218,1.169915,True
Cs2Ca0.5Ba0.5Zr1S4_stannite,512,1.300621,4.291396,2.990775,False
Cs2Ca0.5Ba0.5Zr1Se4_stannite,512,1.063740,3.627520,2.563780,False
Cs2Ca0.5Ba0.5Zr1Te4_stannite,512,2.520372,4.375967,1.855595,False
Cs2Ca0.5Cd0.5Sn1S4_kesterite,536,1.490211,4.721306,3.231095,False
Cs2Ca0.5Cd0.5Sn1S4_stannite,536,1.916207,3.858712,1.942505,True
Cs2Ca0.5Cd0.5Sn1Se4_stannite,536,1.774623,3.174431,1.399808,True
Cs2Ca0.5Cd0.5Zr1S4_kesterite,520,1.438606,4.778655,3.340049,True
Cs2Ca0.5Cd0.5Zr1S4_stannite,520,1.828629,3.653685,1.825056,False
Cs2Ca0.5Cd0.5Zr1Se4_kesterite,520,1.287531,4.133647,2.846116,True
Cs2Ca0.5Cd0.5Zr1Se4_stannite,520,1.693916,3.096566,1.402650,False
Cs2Ca0.5Cd0.5Zr1Te4_kesterite,520,3.055114,5.127918,2.072804,True
Cs2Ca0.5Cd0.5Zr1Te4_stannite,520,1.282476,2.533563,1.251087,False
Cs2Ca0.5Sr0.5Ge1S4_kesterite,528,1.113387,4.275579,3.162192,True
Cs2Ca0.5Sr0.5Ge1S4_stannite,528,1.531977,3.899627,2.367650,True
Cs2Ca0.5Sr0.5Ge1Te4_stannite,528,2.993854,3.991967,0.998113,True
Cs2Ca0.5Sr0.5Sn1S4_kesterite,528,1.223973,4.495497,3.271524,True
Cs2Ca0.5Sr0.5Sn1S4_stannite,528,1.526212,4.036350,2.510138,True
Cs2Ca0.5Sr0.5Sn1Se4_stannite,528,1.326378,3.281273,1.954895,True
Cs2Ca0.5Sr0.5Zr1S4_kesterite,512,1.003697,4.772430,3.768733,False
Cs2Ca0.5Sr0.5Zr1S4_stannite,512,1.342010,4.391815,3.049805,False
Cs2Ca0.5Sr0.5Zr1Se4_kesterite,512,0.735260,4.101504,3.366244,False
Cs2Ca0.5Sr0.5Zr1Se4_stannite,512,1.082143,3.692270,2.610127,False
Cs2Ca0.5Sr0.5Zr1Te4_stannite,512,2.527578,4.419759,1.892181,False
Cs2Ca0.5Zn0.5Ge1S4_stannite,536,1.753044,3.509500,1.756456,True
Cs2Ca0.5Zn0.5Ge1Te4_stannite,536,2.074520,2.551043,0.476523,True
Cs2Ca0.5Zn0.5Sn1S4_stannite,536,2.053967,3.393336,1.339369,False
Cs2Ca0.5Zn0.5Sn1Se4_stannite,536,0.713145,2.258405,1.545260,True
Cs2Ca0.5Zn0.5Zr1S4_stannite,520,1.226732,2.960882,1.734150,False
Cs2Ca0.5Zn0.5Zr1Se4_kesterite,520,0.265055,3.254373,2.989318,False
Cs2Ca1Ge0.5Zr0.5S4_kesterite,520,1.031324,4.304018,3.272694,True
Cs2Ca1Ge0.5Zr0.5S4_stannite,520,1.374074,3.820010,2.445936,True
Cs2Ca1Ge0.5Zr0.5Te4_kesterite,520,2.176830,4.316377,2.139547,False
Cs2Ca1Ge1S1Te3_stannite,528,1.671477,2.741448,1.069971,True
Cs2Ca1Ge1S2Se1Te1_stannite,528,2.074881,3.058483,0.983602,True
Cs2Ca1Ge1S2Te2_stannite,528,1.729562,3.095404,1.365842,True
Cs2Ca1Ge1S3Te1_stannite,528,2.689404,3.885429,1.196025,True
Cs2Ca1Ge1S4_kesterite,132,0.526938,4.146591,3.619653,True
Cs2Ca1Ge1S4_stannite,132,1.302929,3.428172,2.125243,True
Cs2Ca1Ge1Se1Te3_stannite,528,1.383364,2.509394,1.126030,True
Cs2Ca1Ge1Se4_kesterite,132,0.345512,3.235507,2.889995,True
Cs2Ca1Ge1Se4_stannite,132,1.096780,2.460785,1.364005,True
Cs2Ca1Ge1Te4_kesterite,132,2.235507,3.550084,1.314577,False
Cs2Ca1Ge1Te4_stannite,132,2.448713,3.026753,0.578040,True
Cs2Ca1Sn0.5Ge0.5S4_kesterite,528,1.058812,4.343433,3.284621,True
Cs2Ca1Sn0.5Ge0.5S4_stannite,528,1.454837,3.877935,2.423098,True
Cs2Ca1Sn0.5Ge0.5Se2Te2_stannite,528,1.257760,1.659992,0.402232,True
Cs2Ca1Sn0.5Zr0.5S4_kesterite,520,0.367603,3.929458,3.561855,True
Cs2Ca1Sn0.5Zr0.5S4_stannite,520,1.540932,3.991399,2.450467,True
Cs2Ca1Sn0.5Zr0.5Se4_stannite,520,1.307808,3.220695,1.912887,True
Cs2Ca1Sn0.5Zr0.5Te4_stannite,520,0.918561,2.527492,1.608931,True
Cs2Ca1Sn1S1Se1Te2_stannite,528,1.554773,2.653330,1.098557,True
Cs2Ca1Sn1S1Se2Te1_stannite,528,1.442277,2.669103,1.226826,True
Cs2Ca1Sn1S1Se3_stannite,528,1.416514,3.485221,2.068707,True
Cs2Ca1Sn1S2Se1Te1_stannite,528,2.397541,3.898403,1.500862,False
Cs2Ca1Sn1S2Se2_stannite,528,0.525742,2.822559,2.296817,True
Cs2Ca1Sn1S2Te2_stannite,528,1.539529,3.068596,1.529067,True
Cs2Ca1Sn1S3Se1_stannite,528,1.586672,3.867756,2.281084,True
Cs2Ca1Sn1S3Te1_stannite,528,1.931465,3.172136,1.240671,True
Cs2Ca1Sn1S4_kesterite,132,0.562263,4.366604,3.804341,True
Cs2Ca1Sn1S4_stannite,132,1.278206,3.243917,1.965711,True
Cs2Ca1Sn1Se3Te1_stannite,528,1.956988,3.585785,1.628797,True
Cs2Ca1Sn1Se4_kesterite,132,0.195100,3.359225,3.164125,False
Cs2Ca1Sn1Se4_stannite,132,0.996825,2.355521,1.358696,True
Cs2Ca1Sn1Te4_kesterite,132,2.229021,3.788049,1.559028,False
Cs2Ca1Sn1Te4_stannite,132,4.494657,4.021710,0.000000,False
Cs2Ca1Zr1S1Se1Te2_stannite,512,1.253873,3.363553,2.109680,False
Cs2Ca1Zr1S1Se2Te1_kesterite,512,1.855785,4.139504,2.283719,True
Cs2Ca1Zr1S1Se2Te1_stannite,512,1.442327,3.167485,1.725158,False
Cs2Ca1Zr1S1Se3_stannite,512,1.256661,3.948672,2.692011,True
Cs2Ca1Zr1S1Te3_kesterite,512,2.477319,4.347469,1.870150,True
Cs2Ca1Zr1S1Te3_stannite,512,1.567763,3.611011,2.043248,False
Cs2Ca1Zr1S2Se1Te1_kesterite,512,1.390567,4.429651,3.039084,True
Cs2Ca1Zr1S2Se1Te1_stannite,512,1.096607,3.601396,2.504789,False
Cs2Ca1Zr1S2Se2_stannite,512,1.329256,4.142490,2.813234,True
Cs2Ca1Zr1S2Te2_kesterite,512,0.783312,3.692472,2.909160,True
Cs2Ca1Zr1S2Te2_stannite,512,2.261229,4.539278,2.278049,True
Cs2Ca1Zr1S3Se1_stannite,512,1.390004,4.298862,2.908858,False
Cs2Ca1Zr1S4_kesterite,512,1.078981,4.864311,3.785330,False
Cs2Ca1Zr1S4_stannite,512,1.453159,4.521795,3.068636,True
Cs2Ca1Zr1Se1Te3_stannite,512,1.064268,3.352228,2.287960,True
Cs2Ca1Zr1Se2Te2_stannite,512,1.952312,4.167910,2.215598,True
Cs2Ca1Zr1Se3Te1_stannite,512,1.632167,3.882660,2.250493,False
Cs2Ca1Zr1Se4_kesterite,512,0.821452,4.181104,3.359652,False
Cs2Ca1Zr1Se4_stannite,512,1.201395,3.808553,2.607158,True
Cs2Ca1Zr1Te4_kesterite,512,2.343780,4.790870,2.447090,True
Cs2Ca1Zr1Te4_stannite,512,2.679221,4.494901,1.815680,True
Cs2Cd1Ge0.5Zr0.5S4_stannite,536,1.639902,3.429582,1.789680,True
Cs2Cd1Ge1S1Se3_stannite,544,1.137945,2.711425,1.573480,True
Cs2Cd1Ge1S1Te3_kesterite,544,1.824981,3.661360,1.836379,True
Cs2Cd1Ge1S2Se1Te1_stannite,544,2.818055,3.517594,0.699539,False
Cs2Cd1Ge1S2Se2_stannite,544,1.778741,3.249306,1.470565,True
Cs2Cd1Ge1S2Te2_stannite,544,2.239036,2.919544,0.680508,True
Cs2Cd1Ge1S3Se1_stannite,544,1.746371,3.160974,1.414603,True
Cs2Cd1Ge1S4_kesterite,136,1.419360,4.468614,3.049254,False
Cs2Cd1Ge1S4_stannite,136,1.028673,3.353985,2.325312,False
Cs2Cd1Ge1Se1Te3_kesterite,544,1.829844,3.706684,1.876840,True
Cs2Cd1Ge1Se1Te3_stannite,544,2.092019,2.622006,0.529987,True
Cs2Cd1Ge1Se2Te2_stannite,544,1.824083,2.539252,0.715169,True
Cs2Cd1Ge1Se3Te1_stannite,544,1.946138,2.456533,0.510395,False
Cs2Cd1Ge1Se4_kesterite,136,1.160434,3.572035,2.411601,False
Cs2Cd1Ge1Se4_stannite,136,1.659875,0.867526,0.000000,False
Cs2Cd1Ge1Te4_kesterite,136,2.087640,3.797666,1.710026,False
Cs2Cd1Ge1Te4_stannite,136,3.042249,2.032277,0.000000,False
Cs2Cd1Sn0.5Ge0.5S4_kesterite,544,1.213118,4.219230,3.006112,False
Cs2Cd1Sn0.5Ge0.5S4_stannite,544,1.750084,3.608403,1.858319,True
Cs2Cd1Sn0.5Ge0.5Se4_stannite,544,1.659328,3.016083,1.356755,True
Cs2Cd1Sn0.5Zr0.5S4_stannite,536,2.166896,3.880655,1.713759,True
Cs2Cd1Sn0.5Zr0.5Se4_stannite,536,2.136463,3.286538,1.150075,True
Cs2Cd1Sn1S1Se2Te1_stannite,544,2.091797,2.738098,0.646301,True
Cs2Cd1Sn1S1Se3_stannite,544,2.156344,3.489977,1.333633,True
Cs2Cd1Sn1S2Se2_kesterite,544,1.061028,3.508032,2.447004,True
Cs2Cd1Sn1S2Se2_stannite,544,2.196969,3.651199,1.454230,True
Cs2Cd1Sn1S2Te2_kesterite,544,1.543988,3.524470,1.980482,False
Cs2Cd1Sn1S3Te1_stannite,544,2.629076,3.041799,0.412723,False
Cs2Cd1Sn1S4_kesterite,136,1.652638,4.093026,2.440388,True
Cs2Cd1Sn1S4_stannite,136,1.614693,2.386937,0.772244,True
Cs2Cd1Sn1Se4_kesterite,136,1.283808,3.658072,2.374264,False
Cs2Cd1Sn1Se4_stannite,136,1.214986,1.750172,0.535186,False
Cs2Cd1Sn1Te4_kesterite,136,2.932196,4.937197,2.005001,False
Cs2Cd1Sn1Te4_stannite,136,3.513947,2.533539,0.000000,False
Cs2Cd1Zr1S1Se1Te2_stannite,528,1.764301,2.653923,0.889622,False
Cs2Cd1Zr1S1Se2Te1_stannite,528,1.589803,2.622195,1.032392,False
Cs2Cd1Zr1S1Se3_stannite,528,2.113274,3.438896,1.325622,True
Cs2Cd1Zr1S2Se1Te1_stannite,528,2.894837,3.911097,1.016260,True
Cs2Cd1Zr1S2Te2_kesterite,528,1.432190,3.191825,1.759635,False
Cs2Cd1Zr1S2Te2_stannite,528,1.692517,3.100453,1.407936,True
Cs2Cd1Zr1S3Se1_stannite,528,2.136209,3.693688,1.557479,True
Cs2Cd1Zr1S3Te1_stannite,528,2.140881,3.023249,0.882368,False
Cs2Cd1Zr1S4_kesterite,528,1.519215,4.731354,3.212139,True
Cs2Cd1Zr1S4_stannite,528,2.147157,3.827754,1.680597,True
Cs2Cd1Zr1Se1Te3_stannite,528,2.517661,3.048440,0.530779,False
Cs2Cd1Zr1Se2Te2_stannite,528,1.331155,2.694877,1.363722,True
Cs2Cd1Zr1Se3Te1_stannite,528,1.296595,2.467208,1.170613,False
Cs2Cd1Zr1Se4_kesterite,528,0.682595,3.164717,2.482122,True
Cs2Cd1Zr1Se4_stannite,528,1.085598,2.430030,1.344432,True
Cs2Mg0.5Ba0.5Ge1S4_stannite,496,1.664516,3.566851,1.902335,True
Cs2Mg0.5Ba0.5Sn1S4_stannite,496,1.806125,3.745947,1.939822,True
Cs2Mg0.5Ba0.5Sn1Se4_stannite,496,2.045639,3.298937,1.253298,True
Cs2Mg0.5Ba0.5Sn1Te4_stannite,496,1.269672,2.535834,1.266162,True
Cs2Mg0.5Ba0.5Zr1S4_kesterite,480,0.272933,4.029737,3.756804,True
Cs2Mg0.5Ba0.5Zr1S4_stannite,480,1.679277,3.636468,1.957191,False
Cs2Mg0.5Ba0.5Zr1Se4_stannite,480,1.886656,3.445790,1.559134,False
Cs2Mg0.5Ba0.5Zr1Te4_stannite,480,3.425440,4.478061,1.052621,False
Cs2Mg0.5Ca0.5Ge1S4_kesterite,496,1.261299,4.781773,3.520474,True
Cs2Mg0.5Ca0.5Ge1S4_stannite,496,1.665341,3.883729,2.218388,True
Cs2Mg0.5Ca0.5Ge1Se4_stannite,496,1.490656,3.045051,1.554395,True
Cs2Mg0.5Ca0.5Sn1S1Se3_kesterite,496,0.584821,3.360151,2.775330,False
Cs2Mg0.5Ca0.5Sn1S1Se3_stannite,496,0.844750,2.279893,1.435143,True
Cs2Mg0.5Ca0.5Sn1S4_kesterite,496,1.271371,4.692606,3.421235,False
Cs2Mg0.5Ca0.5Sn1S4_stannite,496,1.697552,3.830162,2.132610,True
Cs2Mg0.5Ca0.5Sn1Se4_stannite,496,1.430847,2.972600,1.541753,True
Cs2Mg0.5Ca0.5Sn1Te4_stannite,496,1.376296,2.590119,1.213823,True
Cs2Mg0.5Ca0.5Zr1S4_kesterite,480,1.161295,4.841956,3.680661,True
Cs2Mg0.5Ca0.5Zr1S4_stannite,480,1.568577,3.847855,2.279278,False
Cs2Mg0.5Ca0.5Zr1Se4_stannite,480,1.254364,3.117063,1.862699,False
Cs2Mg0.5Ca0.5Zr1Te4_stannite,480,2.669453,3.896367,1.226914,False
Cs2Mg0.5Cd0.5Ge1S4_stannite,504,1.833661,3.865390,2.031729,True
Cs2Mg0.5Cd0.5Ge1Se4_stannite,504,1.319781,2.552463,1.232682,True
Cs2Mg0.5Cd0.5Ge1Te4_stannite,504,2.001175,2.772343,0.771168,True
Cs2Mg0.5Cd0.5Sn1S4_kesterite,504,1.224591,4.406444,3.181853,False
Cs2Mg0.5Cd0.5Sn1S4_stannite,504,2.014316,3.952312,1.937996,True
Cs2Mg0.5Cd0.5Sn1Se4_kesterite,504,0.693610,3.452444,2.758834,False
Cs2Mg0.5Cd0.5Sn1Te4_stannite,504,1.903783,2.894167,0.990384,True
Cs2Mg0.5Cd0.5Zr1S4_kesterite,488,1.436437,4.725638,3.289201,True
Cs2Mg0.5Cd0.5Zr1Se4_kesterite,488,1.279997,4.038882,2.758885,True
Cs2Mg0.5Cd0.5Zr1Se4_stannite,488,1.772560,3.172811,1.400251,True
Cs2Mg0.5Cd0.5Zr1Te4_kesterite,488,1.826985,3.788588,1.961603,True
Cs2Mg0.5Cd0.5Zr1Te4_stannite,488,2.339996,3.191795,0.851799,True
Cs2Mg0.5Sr0.5Ge1S4_stannite,496,1.622486,3.720312,2.097826,True
Cs2Mg0.5Sr0.5Ge1Se4_stannite,496,0.695019,2.250987,1.555968,True
Cs2Mg0.5Sr0.5Sn1S4_stannite,496,1.763304,3.863730,2.100426,True
Cs2Mg0.5Sr0.5Sn1Se4_stannite,496,1.988718,3.371928,1.383210,True
Cs2Mg0.5Sr0.5Sn1Te4_kesterite,496,1.752557,3.843803,2.091246,True
Cs2Mg0.5Sr0.5Zr1S4_kesterite,480,0.618767,4.368111,3.749344,True
Cs2Mg0.5Sr0.5Zr1S4_stannite,480,1.046670,3.265376,2.218706,False
Cs2Mg0.5Sr0.5Zr1Se4_kesterite,480,0.286529,3.454358,3.167829,True
Cs2Mg0.5Sr0.5Zr1Se4_stannite,480,1.895070,3.500547,1.605477,False
Cs2Mg0.5Sr0.5Zr1Te4_stannite,480,1.601204,2.930800,1.329596,False
Cs2Mg0.5Zn0.5Ge1S4_kesterite,504,1.487623,5.057033,3.569410,False
Cs2Mg0.5Zn0.5Ge1S4_stannite,504,1.753098,3.679561,1.926463,True
Cs2Mg0.5Zn0.5Ge1Se4_stannite,504,1.657434,3.052963,1.395529,True
Cs2Mg0.5Zn0.5Sn1S4_kesterite,504,1.510031,4.797551,3.287520,False
Cs2Mg0.5Zn0.5Sn1S4_stannite,504,1.908939,3.875910,1.966971,True
Cs2Mg0.5Zn0.5Sn1Se4_kesterite,504,1.348169,3.909111,2.560942,False
Cs2Mg0.5Zn0.5Sn1Se4_stannite,504,1.671523,2.996123,1.324600,True
Cs2Mg0.5Zn0.5Sn1Te4_kesterite,504,2.282524,4.102413,1.819889,False
Cs2Mg0.5Zn0.5Zr1S4_kesterite,488,1.426640,4.657760,3.231120,True
Cs2Mg0.5Zn0.5Zr1S4_stannite,488,1.811432,3.661666,1.850234,True
Cs2Mg0.5Zn0.5Zr1Se4_kesterite,488,1.191023,3.862143,2.671120,True
Cs2Mg0.5Zn0.5Zr1Se4_stannite,488,1.564270,2.985441,1.421171,True
Cs2Mg1Ge0.5Zr0.5S4_kesterite,456,1.175986,4.679986,3.504000,False
Cs2Mg1Ge0.5Zr0.5S4_stannite,456,1.566237,3.788376,2.222139,True
Cs2Mg1Ge0.5Zr0.5Se4_stannite,456,0.918610,2.672854,1.754244,False
Cs2Mg1Ge0.5Zr0.5Te4_stannite,456,1.786664,2.842739,1.056075,True
Cs2Mg1Ge1S1Se3_stannite,464,1.496458,2.912657,1.416199,True
Cs2Mg1Ge1S2Se2_stannite,464,1.812134,3.547072,1.734938,True
Cs2Mg1Ge1S3Se1_stannite,464,1.280551,1.873119,0.592568,False
Cs2Mg1Ge1S3Te1_kesterite,464,1.596493,4.406856,2.810363,False
Cs2Mg1Ge1S3Te1_stannite,464,3.211942,4.012766,0.800824,True
Cs2Mg1Ge1S4_kesterite,116,0.847215,5.083096,4.235881,True
Cs2Mg1Ge1S4_stannite,116,1.679894,3.563837,1.883943,True
Cs2Mg1Ge1Se1Te3_kesterite,464,1.686640,3.691882,2.005242,True
Cs2Mg1Ge1Se1Te3_stannite,464,2.250629,2.794088,0.543459,True
Cs2Mg1Ge1Se2Te2_stannite,464,2.033194,2.725159,0.691965,True
Cs2Mg1Ge1Se4_kesterite,116,0.543507,3.941766,3.398259,False
Cs2Mg1Ge1Se4_stannite,116,1.291453,2.389924,1.098471,True
Cs2Mg1Ge1Te4_kesterite,116,2.469094,4.212178,1.743084,False
Cs2Mg1Ge1Te4_stannite,116,3.007952,2.030578,0.000000,False
Cs2Mg1Sn0.5Ge0.5S4_kesterite,464,1.206059,4.913865,3.707806,True
Cs2Mg1Sn0.5Ge0.5S4_stannite,464,1.645001,3.899340,2.254339,True
Cs2Mg1Sn0.5Ge0.5Se4_kesterite,464,0.951871,3.770726,2.818855,False
Cs2Mg1Sn0.5Ge0.5Te4_kesterite,464,2.566335,4.513458,1.947123,False
Cs2Mg1Sn0.5Zr0.5S4_kesterite,456,1.447832,4.746091,3.298259,True
Cs2Mg1Sn0.5Zr0.5S4_stannite,456,1.772763,3.953663,2.180900,True
Cs2Mg1Sn0.5Zr0.5Se4_kesterite,456,0.523380,3.617246,3.093866,True
Cs2Mg1Sn0.5Zr0.5Se4_stannite,456,1.858413,3.315720,1.457307,True
Cs2Mg1Sn0.5Zr0.5Te4_stannite,456,3.492170,4.338461,0.846291,True
Cs2Mg1Sn1S1Se2Te1_stannite,464,2.724183,3.636142,0.911959,True
Cs2Mg1Sn1S1Se3_kesterite,464,0.868562,3.768068,2.899506,True
Cs2Mg1Sn1S1Se3_stannite,464,1.679775,3.389166,1.709391,True
Cs2Mg1Sn1S2Se1Te1_stannite,464,2.863171,3.603230,0.740059,True
Cs2Mg1Sn1S2Se2_kesterite,464,0.735942,3.978564,3.242622,True
Cs2Mg1Sn1S2Te2_stannite,464,3.017250,3.764124,0.746874,True
Cs2Mg1Sn1S3Se1_stannite,464,2.198443,3.826122,1.627679,True
Cs2Mg1Sn1S3Te1_kesterite,464,1.621785,4.219912,2.598127,False
Cs2Mg1Sn1S3Te1_stannite,464,3.151725,3.918681,0.766956,False
Cs2Mg1Sn1S4_kesterite,116,0.899577,4.831605,3.932028,False
Cs2Mg1Sn1S4_stannite,116,1.657385,3.182780,1.525395,True
Cs2Mg1Sn1Se1Te3_kesterite,464,1.752207,3.908704,2.156497,True
Cs2Mg1Sn1Se3Te1_stannite,464,2.556800,3.599035,1.042235,True
Cs2Mg1Sn1Se4_kesterite,116,1.213218,3.990323,2.777105,False
Cs2Mg1Sn1Se4_stannite,116,1.688701,1.726783,0.038082,True
Cs2Mg1Sn1Te4_stannite,116,3.306697,2.285629,0.000000,False
Cs2Mg1Zr1S1Se1Te2_stannite,448,2.355697,3.702641,1.346944,False
Cs2Mg1Zr1S1Se2Te1_kesterite,448,1.015714,3.705241,2.689527,True
Cs2Mg1Zr1S1Se3_kesterite,448,0.507242,3.693608,3.186366,True
Cs2Mg1Zr1S1Se3_stannite,448,1.431289,3.438636,2.007347,True
Cs2Mg1Zr1S1Te3_stannite,448,2.463888,4.010856,1.546968,True
Cs2Mg1Zr1S2Se1Te1_stannite,448,2.169498,3.825634,1.656136,True
Cs2Mg1Zr1S2Se2_kesterite,448,0.656075,3.947815,3.291740,True
Cs2Mg1Zr1S2Se2_stannite,448,1.522618,3.637162,2.114544,True
Cs2Mg1Zr1S2Te2_stannite,448,2.381018,4.094767,1.713749,True
Cs2Mg1Zr1S3Se1_kesterite,448,1.480916,4.672120,3.191204,True
Cs2Mg1Zr1S3Se1_stannite,448,1.639764,3.814313,2.174549,True
Cs2Mg1Zr1S3Te1_stannite,448,2.441131,4.012855,1.571724,True
Cs2Mg1Zr1S4_kesterite,448,1.310881,4.916784,3.605903,True
Cs2Mg1Zr1S4_stannite,448,1.706460,4.000703,2.294243,True
Cs2Mg1Zr1Se1Te3_stannite,448,1.634103,3.215376,1.581273,True
Cs2Mg1Zr1Se2Te2_kesterite,448,1.117946,3.529074,2.411128,True
Cs2Mg1Zr1Se2Te2_stannite,448,2.815129,4.092496,1.277367,True
Cs2Mg1Zr1Se3Te1_stannite,448,2.413697,3.810892,1.397195,True
Cs2Mg1Zr1Se4_kesterite,448,1.461184,4.499449,3.038265,True
Cs2Mg1Zr1Se4_stannite,448,1.960586,3.590972,1.630386,True
Cs2Mg1Zr1Te4_kesterite,448,3.117895,5.194229,2.076334,True
