compound,defect,cdir,nelect,F,conv,lat_match
Ag2Cd1Ge1Se4_stannite,Cd_i,Charged-2,2606,-.10803803E+04,1,0
Ag2Cd1Ge1Se4_stannite,Cd_i,Neutral,2604.0000,-.10875390E+04,1,0
Ag2Cd1Ge1Se4_stannite,Ge_Se,Charged+1,2599,-.10891090E+04,1,0
Ag2Cd1Ge1Se4_stannite,Ge_Se,Charged+2,2598,-.10920795E+04,1,0
Ag2Cd1Ge1Se4_stannite,Ge_Se,Charged-1,2601,-.10830856E+04,1,0
Ag2Cd1Ge1Se4_stannite,Ge_Se,Charged-2,2602,-.10801459E+04,1,0
Ag2Cd1Ge1Se4_stannite,Ge_Se,Neutral,2600.0000,-.10861361E+04,1,0
Ag2Cd1Sn1S4_kesterite,Cd_Ag,Charged+1,2592,-.11661990E+04,1,0
Ag2Cd1Sn1S4_kesterite,Cd_Ag,Charged+2,2591,-.11700385E+04,1,0
Ag2Cd1Sn1S4_kesterite,Cd_Ag,Charged-1,2594,-.11580626E+04,1,0
Ag2Cd1Sn1S4_kesterite,Cd_Ag,Charged-2,2595,-.11530239E+04,1,0
Ag2Cd1Sn1S4_kesterite,Cd_Ag,Neutral,2593.0000,-.11621568E+04,1,0
Ag2Cd1Sn1S4_kesterite,Cd_i,Charged+1,2603,-.11680032E+04,1,0
Ag2Cd1Sn1S4_kesterite,Cd_i,Charged+2,2602,-.11720674E+04,1,0
Ag2Cd1Sn1S4_kesterite,Cd_i,Charged-1,2605,-.11591353E+04,1,0
Ag2Cd1Sn1S4_kesterite,Cd_i,Charged-2,2606,-.11547815E+04,1,0
Ag2Cd1Sn1S4_kesterite,Cd_i,Neutral,2604.0000,-.11638932E+04,1,0
Ag2Cd1Sn1S4_kesterite,S_Ag,Charged+1,2580,-.11630891E+04,1,0
Ag2Cd1Sn1S4_kesterite,S_Ag,Charged+2,2579,-.11668018E+04,1,0
Ag2Cd1Sn1S4_kesterite,S_Ag,Charged-1,2582,-.11555289E+04,1,0
Ag2Cd1Sn1S4_kesterite,S_Ag,Charged-2,2583,-.11514893E+04,1,0
Ag2Cd1Sn1S4_kesterite,S_Ag,Neutral,2581.0000,-.11593393E+04,1,0
Ag2Cd1Sn1S4_kesterite,Sn_S,Charged+1,2599,-.11653206E+04,1,0
Ag2Cd1Sn1S4_kesterite,Sn_S,Charged+2,2598,-.11693041E+04,1,0
Ag2Cd1Sn1S4_kesterite,Sn_S,Charged-1,2601,-.11570806E+04,1,0
Ag2Cd1Sn1S4_kesterite,Sn_S,Charged-2,2602,-.11528507E+04,1,0
Ag2Cd1Sn1S4_kesterite,Sn_S,Neutral,2600.0000,-.11612172E+04,1,0
Ag2Cd1Sn1S4_kesterite,V_Cd,Charged+1,2579,-.11634348E+04,1,0
Ag2Cd1Sn1S4_kesterite,V_Cd,Charged+2,2578,-.11671427E+04,1,0
Ag2Cd1Sn1S4_kesterite,V_Cd,Charged-1,2581,-.11558617E+04,1,0
Ag2Cd1Sn1S4_kesterite,V_Cd,Charged-2,2582,-.11519820E+04,1,0
Ag2Cd1Sn1S4_kesterite,V_Cd,Neutral,2580.0000,-.11596586E+04,1,0
Ag2Cd1Sn1S4_stannite,HSE,.,2592.0000,-.13558310E+04,1,1
Ag2Cd1Sn1Se4_kesterite,Sn_Cd,Charged+1,2579,-.10728318E+04,1,0
Ag2Cd1Sn1Se4_kesterite,Sn_Cd,Charged+2,2578,-.10757494E+04,1,0
Ag2Cd1Sn1Se4_kesterite,Sn_Cd,Charged-1,2581,-.10668916E+04,1,0
Ag2Cd1Sn1Se4_kesterite,Sn_Cd,Charged-2,2582,-.10639019E+04,1,0
Ag2Cd1Sn1Se4_kesterite,Sn_Cd,Neutral,2580.0000,-.10698825E+04,1,0
Ag2Cd1Sn1Se4_kesterite,V_Cd,Charged+1,2579,-.10728330E+04,1,0
Ag2Cd1Sn1Se4_kesterite,V_Cd,Charged+2,2578,-.10757468E+04,1,0
Ag2Cd1Sn1Se4_kesterite,V_Cd,Charged-1,2581,-.10668898E+04,1,0
Ag2Cd1Sn1Se4_kesterite,V_Cd,Charged-2,2582,-.10639079E+04,1,0
Ag2Cd1Sn1Se4_kesterite,V_Cd,Neutral,2580.0000,-.10698809E+04,1,0
Ag2Cd1Sn1Se4_stannite,Sn_Ag,Charged+1,2594,-.10753769E+04,1,0
Ag2Cd1Sn1Se4_stannite,Sn_Ag,Charged+2,2593,-.10786490E+04,1,0
Ag2Cd1Sn1Se4_stannite,Sn_Ag,Charged-1,2596,-.10689522E+04,1,0
Ag2Cd1Sn1Se4_stannite,Sn_Ag,Charged-2,2597,-.10650284E+04,1,0
Ag2Cd1Sn1Se4_stannite,Sn_Ag,Neutral,2595.0000,-.10721698E+04,1,0
Ag2Cd1Sn1Se4_stannite,Sn_i,Charged+1,2605,,0,0
Ag2Cd1Sn1Se4_stannite,Sn_i,Charged+2,2604,,0,0
Ag2Cd1Sn1Se4_stannite,Sn_i,Charged-1,2607,,0,0
Ag2Cd1Sn1Se4_stannite,Sn_i,Charged-2,2608,,0,0
Ag2Cd1Sn1Se4_stannite,Sn_i,Neutral,,,0,0
Ag2Mg0.5Ba0.5Zr1S4_kesterite,Mg_S,Charged+1,2299,-.15353783E+04,1,0
Ag2Mg0.5Ba0.5Zr1S4_kesterite,Mg_S,Charged+2,2298,-.15372385E+04,1,0
Ag2Mg0.5Ba0.5Zr1S4_kesterite,Mg_S,Charged-1,2301,-.15233595E+04,1,0
Ag2Mg0.5Ba0.5Zr1S4_kesterite,Mg_S,Charged-2,2302,-.15184123E+04,1,0
Ag2Mg0.5Ba0.5Zr1S4_kesterite,Mg_S,Neutral,2300.0000,-.15323799E+04,1,0
Ag2Mg0.5Ba0.5Zr1S4_kesterite,V_Mg,Charged+1,2301,-.15301329E+04,1,0
Ag2Mg0.5Ba0.5Zr1S4_kesterite,V_Mg,Charged+2,2300,-.15333917E+04,1,0
Ag2Mg0.5Ba0.5Zr1S4_kesterite,V_Mg,Charged-1,2303,-.15234714E+04,1,0
Ag2Mg0.5Ba0.5Zr1S4_kesterite,V_Mg,Charged-2,2304,-.15199961E+04,1,0
Ag2Mg0.5Ba0.5Zr1S4_kesterite,V_Mg,Neutral,2302.0000,-.15268342E+04,1,0
Ag2Mg0.5Ba0.5Zr1S4_kesterite,Zr_Ba,Charged+1,2293,-.15287826E+04,1,0
Ag2Mg0.5Ba0.5Zr1S4_kesterite,Zr_Ba,Charged+2,2292,-.15319901E+04,1,0
Ag2Mg0.5Ba0.5Zr1S4_kesterite,Zr_Ba,Charged-1,2295,-.15222814E+04,1,0
Ag2Mg0.5Ba0.5Zr1S4_kesterite,Zr_Ba,Charged-2,2296,-.15189172E+04,1,0
Ag2Mg0.5Ba0.5Zr1S4_kesterite,Zr_Ba,Neutral,2294.0000,-.15255388E+04,1,0
Ag2Mg0.5Ba0.5Zr1S4_stannite,Ag_Ba,Charged+1,2293,-.15291501E+04,1,0
Ag2Mg0.5Ba0.5Zr1S4_stannite,Ag_Ba,Charged+2,2292,-.15327791E+04,1,0
Ag2Mg0.5Ba0.5Zr1S4_stannite,Ag_Ba,Charged-1,2295,-.15221882E+04,1,0
Ag2Mg0.5Ba0.5Zr1S4_stannite,Ag_Ba,Charged-2,2296,-.15186470E+04,1,0
Ag2Mg0.5Ba0.5Zr1S4_stannite,Ag_Ba,Neutral,2294.0000,-.15256867E+04,1,0
Ag2Mg0.5Ba0.5Zr1S4_stannite,Ag_S,Charged+1,2308,-.15350616E+04,1,0
Ag2Mg0.5Ba0.5Zr1S4_stannite,Ag_S,Charged+2,2307,-.15388606E+04,1,0
Ag2Mg0.5Ba0.5Zr1S4_stannite,Ag_S,Charged-1,2310,-.15241709E+04,1,0
Ag2Mg0.5Ba0.5Zr1S4_stannite,Ag_S,Charged-2,2311,,0,0
Ag2Mg0.5Ba0.5Zr1S4_stannite,Ag_S,Neutral,2309.0000,-.15303290E+04,1,0
Ag2Mg0.5Ba0.5Zr1S4_stannite,Mg_S,Charged+1,2299,-.15341095E+04,1,0
Ag2Mg0.5Ba0.5Zr1S4_stannite,Mg_S,Charged+2,2298,-.15390558E+04,1,0
Ag2Mg0.5Ba0.5Zr1S4_stannite,Mg_S,Charged-1,2301,-.15244706E+04,1,0
Ag2Mg0.5Ba0.5Zr1S4_stannite,Mg_S,Charged-2,2302,-.15191686E+04,1,0
Ag2Mg0.5Ba0.5Zr1S4_stannite,Mg_S,Neutral,2300.0000,-.15266363E+04,1,0
Ag2Mg0.5Ba0.5Zr1S4_stannite,S_Zr,Charged+1,2291,-.15197347E+04,1,0
Ag2Mg0.5Ba0.5Zr1S4_stannite,S_Zr,Charged+2,2290,-.15231597E+04,1,0
Ag2Mg0.5Ba0.5Zr1S4_stannite,S_Zr,Charged-1,2293,-.15136088E+04,1,0
Ag2Mg0.5Ba0.5Zr1S4_stannite,S_Zr,Charged-2,2294,-.15100764E+04,1,0
Ag2Mg0.5Ba0.5Zr1S4_stannite,S_Zr,Neutral,2292.0000,-.15162350E+04,1,0
Ag2Mg0.5Ba0.5Zr1S4_stannite,S_i,Charged+1,2309,-.15428349E+04,1,0
Ag2Mg0.5Ba0.5Zr1S4_stannite,S_i,Charged+2,2308,-.15448847E+04,1,0
Ag2Mg0.5Ba0.5Zr1S4_stannite,S_i,Charged-1,2311,-.15342443E+04,1,0
Ag2Mg0.5Ba0.5Zr1S4_stannite,S_i,Charged-2,2312,-.15318654E+04,1,0
Ag2Mg0.5Ba0.5Zr1S4_stannite,S_i,Neutral,2310.0000,-.15394058E+04,1,0
Ag2Mg0.5Ba0.5Zr1S4_stannite,V_S,Charged+1,2297,-.15325874E+04,1,0
Ag2Mg0.5Ba0.5Zr1S4_stannite,V_S,Charged+2,2296,-.15355544E+04,1,0
Ag2Mg0.5Ba0.5Zr1S4_stannite,V_S,Charged-1,2299,-.15212159E+04,1,0
Ag2Mg0.5Ba0.5Zr1S4_stannite,V_S,Charged-2,2300,-.15161936E+04,1,0
Ag2Mg0.5Ba0.5Zr1S4_stannite,V_S,Neutral,2298.0000,-.15262894E+04,1,0
Ag2Mg1Ge1S4_kesterite,Mg_S,Charged+1,2227,-.12635668E+04,1,0
Ag2Mg1Ge1S4_kesterite,Mg_S,Charged+2,2226,-.12683903E+04,1,0
Ag2Mg1Ge1S4_kesterite,Mg_S,Charged-1,2229,-.12546763E+04,1,0
Ag2Mg1Ge1S4_kesterite,Mg_S,Charged-2,2230,-.12497318E+04,1,0
Ag2Mg1Ge1S4_kesterite,Mg_S,Neutral,2228.0000,-.12595527E+04,1,0
Ag2Mg1Ge1S4_stannite,S_Ag,Charged+1,2220,-.12594240E+04,1,0
Ag2Mg1Ge1S4_stannite,S_Ag,Charged+2,2219,-.12633138E+04,1,0
Ag2Mg1Ge1S4_stannite,S_Ag,Charged-1,2222,-.12515321E+04,1,0
Ag2Mg1Ge1S4_stannite,S_Ag,Charged-2,2223,-.12468384E+04,1,0
Ag2Mg1Ge1S4_stannite,S_Ag,Neutral,2221.0000,-.12555034E+04,1,0
Ag2Mg1Ge1S4_stannite,S_i,Charged+1,2237,-.12657299E+04,1,0
Ag2Mg1Ge1S4_stannite,S_i,Charged+2,2236,-.12697427E+04,1,0
Ag2Mg1Ge1S4_stannite,S_i,Charged-1,2239,-.12577125E+04,1,0
Ag2Mg1Ge1S4_stannite,S_i,Charged-2,2240,-.12529144E+04,1,0
Ag2Mg1Ge1S4_stannite,S_i,Neutral,2238.0000,-.12624945E+04,1,0
Ag2Mg1Ge1Se4_kesterite,Mg_Ge,Charged+1,2219,-.11531094E+04,1,0
Ag2Mg1Ge1Se4_kesterite,Mg_Ge,Charged+2,2218,-.11559688E+04,1,0
Ag2Mg1Ge1Se4_kesterite,Mg_Ge,Charged-1,2221,-.11472807E+04,1,0
Ag2Mg1Ge1Se4_kesterite,Mg_Ge,Charged-2,2222,-.11442043E+04,1,0
Ag2Mg1Ge1Se4_kesterite,Mg_Ge,Neutral,2220.0000,-.11502348E+04,1,0
Ag2Mg1Ge1Se4_kesterite,Mg_Se,Charged+1,2227,-.11534091E+04,1,0
Ag2Mg1Ge1Se4_kesterite,Mg_Se,Charged+2,2226,-.11568891E+04,1,0
Ag2Mg1Ge1Se4_kesterite,Mg_Se,Charged-1,2229,-.11459074E+04,1,0
Ag2Mg1Ge1Se4_kesterite,Mg_Se,Charged-2,2230,-.11427334E+04,1,0
Ag2Mg1Ge1Se4_kesterite,Mg_Se,Neutral,2228.0000,-.11499944E+04,1,0
Ag2Mg1Ge1Se4_kesterite,Se_Ge,Charged+1,2217,-.11480922E+04,1,0
Ag2Mg1Ge1Se4_kesterite,Se_Ge,Charged+2,2216,-.11509489E+04,1,0
Ag2Mg1Ge1Se4_kesterite,Se_Ge,Charged-1,2219,-.11416182E+04,1,0
Ag2Mg1Ge1Se4_kesterite,Se_Ge,Charged-2,2220,-.11385305E+04,1,0
Ag2Mg1Ge1Se4_kesterite,Se_Ge,Neutral,2218.0000,-.11446744E+04,1,0
Ag2Mg1Ge1Se4_stannite,Ge_Se,Charged+1,2239,-.11516748E+04,1,0
Ag2Mg1Ge1Se4_stannite,Ge_Se,Charged+2,2238,-.11548125E+04,1,0
Ag2Mg1Ge1Se4_stannite,Ge_Se,Charged-1,2241,-.11451955E+04,1,0
Ag2Mg1Ge1Se4_stannite,Ge_Se,Charged-2,2242,-.11418756E+04,1,0
Ag2Mg1Ge1Se4_stannite,Ge_Se,Neutral,2240.0000,-.11484748E+04,1,0
Ag2Mg1Ge1Se4_stannite,Mg_Se,Charged+1,2227,-.11492285E+04,1,0
Ag2Mg1Ge1Se4_stannite,Mg_Se,Charged+2,2226,-.11524559E+04,1,0
Ag2Mg1Ge1Se4_stannite,Mg_Se,Charged-1,2229,-.11424216E+04,1,0
Ag2Mg1Ge1Se4_stannite,Mg_Se,Charged-2,2230,-.11383584E+04,1,0
Ag2Mg1Ge1Se4_stannite,Mg_Se,Neutral,2228.0000,-.11459569E+04,1,0
Ag2Mg1Ge1Se4_stannite,V_Ge,Charged+1,2217,-.11447632E+04,1,0
Ag2Mg1Ge1Se4_stannite,V_Ge,Charged+2,2216,-.11479218E+04,1,0
Ag2Mg1Ge1Se4_stannite,V_Ge,Charged-1,2219,-.11382570E+04,1,0
Ag2Mg1Ge1Se4_stannite,V_Ge,Charged-2,2220,-.11349679E+04,1,0
Ag2Mg1Ge1Se4_stannite,V_Ge,Neutral,2218.0000,-.11414892E+04,1,0
Ag2Mg1Ge1Te4_kesterite,Ge_Te,Charged+1,2239,-.10502511E+04,1,0
Ag2Mg1Ge1Te4_kesterite,Ge_Te,Charged+2,2238,-.10543829E+04,1,0
Ag2Mg1Ge1Te4_kesterite,Ge_Te,Charged-1,2241,-.10417587E+04,1,0
Ag2Mg1Ge1Te4_kesterite,Ge_Te,Charged-2,2242,-.10374096E+04,1,0
Ag2Mg1Ge1Te4_kesterite,Ge_Te,Neutral,2240.0000,-.10460738E+04,1,0
Ag2Mg1Ge1Te4_kesterite,Ge_i,Charged+1,2245,-.10546091E+04,1,0
Ag2Mg1Ge1Te4_kesterite,Ge_i,Charged+2,2244,-.10589243E+04,1,0
Ag2Mg1Ge1Te4_kesterite,Ge_i,Charged-1,2247,-.10458171E+04,1,0
Ag2Mg1Ge1Te4_kesterite,Ge_i,Charged-2,2248,-.10413273E+04,1,0
Ag2Mg1Ge1Te4_kesterite,Ge_i,Neutral,2246.0000,-.10502343E+04,1,0
Ag2Mg1Ge1Te4_stannite,Ge_i,Charged+1,2245,-.10531370E+04,1,0
Ag2Mg1Ge1Te4_stannite,Ge_i,Charged+2,2244,-.10574545E+04,1,0
Ag2Mg1Ge1Te4_stannite,Ge_i,Charged-1,2247,-.10442090E+04,1,0
Ag2Mg1Ge1Te4_stannite,Ge_i,Charged-2,2248,-.10396241E+04,1,0
Ag2Mg1Ge1Te4_stannite,Ge_i,Neutral,2246.0000,-.10487980E+04,1,0
Ag2Mg1Ge1Te4_stannite,Mg_i,Charged+1,2233,-.10513735E+04,1,0
Ag2Mg1Ge1Te4_stannite,Mg_i,Charged+2,2232,-.10556826E+04,1,0
Ag2Mg1Ge1Te4_stannite,Mg_i,Charged-1,2235,-.10425309E+04,1,0
Ag2Mg1Ge1Te4_stannite,Mg_i,Charged-2,2236,-.10379454E+04,1,0
Ag2Mg1Ge1Te4_stannite,Mg_i,Neutral,2234.0000,-.10470327E+04,1,0
Ag2Mg1Ge1Te4_stannite,Te_Ag,Charged+1,2220,-.10456049E+04,1,0
Ag2Mg1Ge1Te4_stannite,Te_Ag,Charged+2,2219,-.10498315E+04,1,0
Ag2Mg1Ge1Te4_stannite,Te_Ag,Charged-1,2222,-.10371200E+04,1,0
Ag2Mg1Ge1Te4_stannite,Te_Ag,Charged-2,2223,-.10328501E+04,1,0
Ag2Mg1Ge1Te4_stannite,Te_Ag,Neutral,2221.0000,-.10413679E+04,1,0
Ag2Mg1Ge1Te4_stannite,Te_Ge,Charged+1,2217,-.10422483E+04,1,0
Ag2Mg1Ge1Te4_stannite,Te_Ge,Charged+2,2216,-.10464456E+04,1,0
Ag2Mg1Ge1Te4_stannite,Te_Ge,Charged-1,2219,-.10337473E+04,1,0
Ag2Mg1Ge1Te4_stannite,Te_Ge,Charged-2,2220,-.10294669E+04,1,0
Ag2Mg1Ge1Te4_stannite,Te_Ge,Neutral,2218.0000,-.10380269E+04,1,0
Ag2Mg1Sn1S4_kesterite,Ag_i,Charged+1,2242,-.12459312E+04,1,0
Ag2Mg1Sn1S4_kesterite,Ag_i,Charged+2,2241,-.12499674E+04,1,0
Ag2Mg1Sn1S4_kesterite,Ag_i,Charged-1,2244,-.12364841E+04,1,0
Ag2Mg1Sn1S4_kesterite,Ag_i,Charged-2,2245,-.12311311E+04,1,0
Ag2Mg1Sn1S4_kesterite,Ag_i,Neutral,2243.0000,-.12412388E+04,1,0
Ag2Mg1Sn1S4_kesterite,Mg_i,Charged+1,2233,-.12455204E+04,1,0
Ag2Mg1Sn1S4_kesterite,Mg_i,Charged+2,2232,-.12502863E+04,1,0
Ag2Mg1Sn1S4_kesterite,Mg_i,Charged-1,2235,-.12363696E+04,1,0
Ag2Mg1Sn1S4_kesterite,Mg_i,Charged-2,2236,-.12315832E+04,1,0
Ag2Mg1Sn1S4_kesterite,Mg_i,Neutral,2234.0000,-.12411406E+04,1,0
Ag2Mg1Sn1S4_kesterite,S_i,Charged+1,2237,-.12457179E+04,1,0
Ag2Mg1Sn1S4_kesterite,S_i,Charged+2,2236,-.12497477E+04,1,0
Ag2Mg1Sn1S4_kesterite,S_i,Charged-1,2239,-.12368095E+04,1,0
Ag2Mg1Sn1S4_kesterite,S_i,Charged-2,2240,-.12320972E+04,1,0
Ag2Mg1Sn1S4_kesterite,S_i,Neutral,2238.0000,-.12418235E+04,1,0
Ag2Mg1Sn1S4_kesterite,V_Ag,Charged+1,2220,-.12387454E+04,1,0
Ag2Mg1Sn1S4_kesterite,V_Ag,Charged+2,2219,-.12425567E+04,1,0
Ag2Mg1Sn1S4_kesterite,V_Ag,Charged-1,2222,-.12308964E+04,1,0
Ag2Mg1Sn1S4_kesterite,V_Ag,Charged-2,2223,-.12262655E+04,1,0
Ag2Mg1Sn1S4_kesterite,V_Ag,Neutral,2221.0000,-.12348504E+04,1,0
Ag2Mg1Sn1S4_stannite,HSE,.,2232.0000,-.14292635E+04,1,1
Ag2Mg1Sn1Se4_kesterite,Ag_Sn,Charged+1,2228,-.11365238E+04,1,0
Ag2Mg1Sn1Se4_kesterite,Ag_Sn,Charged+2,2227,-.11396764E+04,1,0
Ag2Mg1Sn1Se4_kesterite,Ag_Sn,Charged-1,2230,-.11300295E+04,1,0
Ag2Mg1Sn1Se4_kesterite,Ag_Sn,Charged-2,2231,-.11266974E+04,1,0
Ag2Mg1Sn1Se4_kesterite,Ag_Sn,Neutral,2229.0000,-.11333061E+04,1,0
Ag2Mg1Sn1Se4_kesterite,Mg_Ag,Charged+1,2222,-.11407649E+04,1,0
Ag2Mg1Sn1Se4_kesterite,Mg_Ag,Charged+2,2221,-.11439316E+04,1,0
Ag2Mg1Sn1Se4_kesterite,Mg_Ag,Charged-1,2224,-.11340769E+04,1,0
Ag2Mg1Sn1Se4_kesterite,Mg_Ag,Charged-2,2225,-.11299134E+04,1,0
Ag2Mg1Sn1Se4_kesterite,Mg_Ag,Neutral,2223.0000,-.11374471E+04,1,0
Ag2Mg1Sn1Se4_kesterite,Sn_Se,Charged+1,2239,-.11385120E+04,1,0
Ag2Mg1Sn1Se4_kesterite,Sn_Se,Charged+2,2238,-.11423168E+04,1,0
Ag2Mg1Sn1Se4_kesterite,Sn_Se,Charged-1,2241,-.11317312E+04,1,0
Ag2Mg1Sn1Se4_kesterite,Sn_Se,Charged-2,2242,-.11281392E+04,1,0
Ag2Mg1Sn1Se4_kesterite,Sn_Se,Neutral,2240.0000,-.11351494E+04,1,0
Ag2Mg1Sn1Se4_stannite,Se_Mg,Charged+1,2229,-.11324104E+04,1,0
Ag2Mg1Sn1Se4_stannite,Se_Mg,Charged+2,2228,-.11356243E+04,1,0
Ag2Mg1Sn1Se4_stannite,Se_Mg,Charged-1,2231,-.11259481E+04,1,0
Ag2Mg1Sn1Se4_stannite,Se_Mg,Charged-2,2232,-.11226801E+04,1,0
Ag2Mg1Sn1Se4_stannite,Se_Mg,Neutral,2230.0000,-.11291974E+04,1,0
Ag2Mg1Sn1Se4_stannite,Sn_Ag,Charged+1,2234,-.11381298E+04,1,0
Ag2Mg1Sn1Se4_stannite,Sn_Ag,Charged+2,2233,-.11414864E+04,1,0
Ag2Mg1Sn1Se4_stannite,Sn_Ag,Charged-1,2236,-.11312744E+04,1,0
Ag2Mg1Sn1Se4_stannite,Sn_Ag,Charged-2,2237,-.11271895E+04,1,0
Ag2Mg1Sn1Se4_stannite,Sn_Ag,Neutral,2235.0000,-.11347014E+04,1,0
Ag2Mg1Zr1S2Se2_kesterite,Ag_Zr,Charged+1,2147,-.14352472E+04,1,0
Ag2Mg1Zr1S2Se2_kesterite,Ag_Zr,Charged+2,2146,-.14383129E+04,1,0
Ag2Mg1Zr1S2Se2_kesterite,Ag_Zr,Charged-1,2149,-.14285586E+04,1,0
Ag2Mg1Zr1S2Se2_kesterite,Ag_Zr,Charged-2,2150,-.14255548E+04,1,0
Ag2Mg1Zr1S2Se2_kesterite,Ag_Zr,Neutral,2148.0000,-.14319337E+04,1,0
Ag2Mg1Zr1S2Se2_kesterite,Mg_S,Charged+1,2155,-.14474735E+04,1,0
Ag2Mg1Zr1S2Se2_kesterite,Mg_S,Charged+2,2154,-.14501539E+04,1,0
Ag2Mg1Zr1S2Se2_kesterite,Mg_S,Charged-1,2157,-.14374930E+04,1,0
Ag2Mg1Zr1S2Se2_kesterite,Mg_S,Charged-2,2158,-.14327321E+04,1,0
Ag2Mg1Zr1S2Se2_kesterite,Mg_S,Neutral,2156.0000,-.14422228E+04,1,0
Ag2Mg1Zr1S2Se2_kesterite,S_Ag,Charged+1,2154,-.14510524E+04,1,0
Ag2Mg1Zr1S2Se2_kesterite,S_Ag,Charged+2,2153,-.14541454E+04,1,0
Ag2Mg1Zr1S2Se2_kesterite,S_Ag,Charged-1,2156,-.14444012E+04,1,0
Ag2Mg1Zr1S2Se2_kesterite,S_Ag,Charged-2,2157,-.14400374E+04,1,0
Ag2Mg1Zr1S2Se2_kesterite,S_Ag,Neutral,2155.0000,-.14458910E+04,1,0
Ag2Mg1Zr1S2Se2_kesterite,S_Zr,Charged+1,2147,-.14352442E+04,1,0
Ag2Mg1Zr1S2Se2_kesterite,S_Zr,Charged+2,2146,-.14383182E+04,1,0
Ag2Mg1Zr1S2Se2_kesterite,S_Zr,Charged-1,2149,-.14285476E+04,1,0
Ag2Mg1Zr1S2Se2_kesterite,S_Zr,Charged-2,2150,-.14249692E+04,1,0
Ag2Mg1Zr1S2Se2_kesterite,S_Zr,Neutral,2148.0000,-.14319269E+04,1,0
Ag2Mg1Zr1S2Se2_kesterite,S_i,Charged+1,2165,-.14550897E+04,1,0
Ag2Mg1Zr1S2Se2_kesterite,S_i,Charged+2,2164,-.14581842E+04,1,0
Ag2Mg1Zr1S2Se2_kesterite,S_i,Charged-1,2167,-.14472996E+04,1,0
Ag2Mg1Zr1S2Se2_kesterite,S_i,Charged-2,2168,-.14432791E+04,1,0
Ag2Mg1Zr1S2Se2_kesterite,S_i,Neutral,2166.0000,-.14519029E+04,1,0
Ag2Mg1Zr1S2Se2_kesterite,Se_Ag,Charged+1,2154,-.14507791E+04,1,0
Ag2Mg1Zr1S2Se2_kesterite,Se_Ag,Charged+2,2153,-.14538836E+04,1,0
Ag2Mg1Zr1S2Se2_kesterite,Se_Ag,Charged-1,2156,-.14440112E+04,1,0
Ag2Mg1Zr1S2Se2_kesterite,Se_Ag,Charged-2,2157,-.14392701E+04,1,0
Ag2Mg1Zr1S2Se2_kesterite,Se_Ag,Neutral,2155.0000,-.14456284E+04,1,0
Ag2Mg1Zr1S2Se2_kesterite,V_Ag,Charged+1,2148,-.14464308E+04,1,0
Ag2Mg1Zr1S2Se2_kesterite,V_Ag,Charged+2,2147,-.14494615E+04,1,0
Ag2Mg1Zr1S2Se2_kesterite,V_Ag,Charged-1,2150,-.14403349E+04,1,0
Ag2Mg1Zr1S2Se2_kesterite,V_Ag,Charged-2,2151,-.14356517E+04,1,0
Ag2Mg1Zr1S2Se2_kesterite,V_Ag,Neutral,2149.0000,-.14433880E+04,1,0
Ag2Mg1Zr1S2Se2_stannite,Se_S,Charged+1,2159,-.14489154E+04,1,0
Ag2Mg1Zr1S2Se2_stannite,Se_S,Charged+2,2158,-.14521877E+04,1,0
Ag2Mg1Zr1S2Se2_stannite,Se_S,Charged-1,2161,-.14408507E+04,1,0
Ag2Mg1Zr1S2Se2_stannite,Se_S,Charged-2,2162,-.14360505E+04,1,0
Ag2Mg1Zr1S2Se2_stannite,Se_S,Neutral,2160.0000,-.14455988E+04,1,0
Ag2Sr1Ge1S4_stannite,S_Ge,Charged+1,2505,-.13275781E+04,1,0
Ag2Sr1Ge1S4_stannite,S_Ge,Charged+2,2504,-.13324055E+04,1,0
Ag2Sr1Ge1S4_stannite,S_Ge,Charged-1,2507,-.13176248E+04,1,0
Ag2Sr1Ge1S4_stannite,S_Ge,Charged-2,2508,-.13125818E+04,1,0
Ag2Sr1Ge1S4_stannite,S_Ge,Neutral,2506.0000,-.13226202E+04,1,0
Ag2Sr1Ge1S4_stannite,Sr_i,Charged+1,2529,-.13385312E+04,1,0
Ag2Sr1Ge1S4_stannite,Sr_i,Charged+2,2528,-.13412143E+04,1,0
Ag2Sr1Ge1S4_stannite,Sr_i,Charged-1,2531,-.13271858E+04,1,0
Ag2Sr1Ge1S4_stannite,Sr_i,Charged-2,2532,,0,0
Ag2Sr1Ge1S4_stannite,Sr_i,Neutral,2530.0000,-.13328679E+04,1,0
Ag2Sr1Ge1S4_stannite,V_Ge,Charged+1,2505,-.13275208E+04,1,0
Ag2Sr1Ge1S4_stannite,V_Ge,Charged+2,2504,-.13324023E+04,1,0
Ag2Sr1Ge1S4_stannite,V_Ge,Charged-1,2507,-.13176270E+04,1,0
Ag2Sr1Ge1S4_stannite,V_Ge,Charged-2,2508,-.13126053E+04,1,0
Ag2Sr1Ge1S4_stannite,V_Ge,Neutral,2506.0000,-.13226085E+04,1,0
Ag2Sr1Sn1S4_kesterite,Sr_S,Charged+1,2523,-.12789112E+04,1,0
Ag2Sr1Sn1S4_kesterite,Sr_S,Charged+2,2522,-.12829690E+04,1,0
Ag2Sr1Sn1S4_kesterite,Sr_S,Charged-1,2525,-.12710206E+04,1,0
Ag2Sr1Sn1S4_kesterite,Sr_S,Charged-2,2526,-.12667860E+04,1,0
