compound,defect,cdir,nelect,F,conv,lat_match
Ag1Al0.5Ga0.5Te2_stannite,Al_Ga,Charged-2,2224,-.10705601E+04,1,0
Ag1Al0.5Ga0.5Te2_stannite,Al_Ga,Neutral,2222.0000,-.10804270E+04,1,0
Ag1Al0.5Ga0.5Te2_stannite,Ga_Al,Charged+1,2228,-.10784363E+04,1,0
Ag1Al0.5Ga0.5Te2_stannite,Ga_Al,Charged+2,2227,-.10831565E+04,1,0
Ag1Al0.5Ga0.5Te2_stannite,Ga_Al,Charged-1,2230,-.10687469E+04,1,0
Ag1Al0.5Ga0.5Te2_stannite,Ga_Al,Charged-2,2231,-.10638682E+04,1,0
Ag1Al0.5Ga0.5Te2_stannite,Ga_Al,Neutral,2229.0000,-.10735970E+04,1,0
Ag1Al0.5Ga0.5Te2_stannite,V_Te,Charged+1,2225,-.10783859E+04,1,0
Ag1Al0.5Ga0.5Te2_stannite,V_Te,Charged+2,2224,-.10831459E+04,1,0
Ag1Al0.5Ga0.5Te2_stannite,V_Te,Charged-1,2227,-.10686994E+04,1,0
Ag1Al0.5Ga0.5Te2_stannite,V_Te,Charged-2,2228,-.10647318E+04,1,0
Ag1Al0.5Ga0.5Te2_stannite,V_Te,Neutral,2226.0000,-.10735791E+04,1,0
Ag1Al0.5In0.5S1Se1_kesterite,Ag_Al,Charged+1,2228,-.12272981E+04,1,0
Ag1Al0.5In0.5S1Se1_kesterite,Ag_Al,Charged+2,2227,-.12312684E+04,1,0
Ag1Al0.5In0.5S1Se1_kesterite,Ag_Al,Charged-1,2230,-.12192011E+04,1,0
Ag1Al0.5In0.5S1Se1_kesterite,Ag_Al,Charged-2,2231,-.12149915E+04,1,0
Ag1Al0.5In0.5S1Se1_kesterite,Ag_Al,Neutral,2229.0000,-.12232910E+04,1,0
Ag1Al0.5In0.5S1Se1_kesterite,Al_In,Charged+1,2221,-.12383664E+04,1,0
Ag1Al0.5In0.5S1Se1_kesterite,Al_In,Charged+2,2220,-.12423226E+04,1,0
Ag1Al0.5In0.5S1Se1_kesterite,Al_In,Charged-1,2223,-.12297160E+04,1,0
Ag1Al0.5In0.5S1Se1_kesterite,Al_In,Charged-2,2224,-.12250254E+04,1,0
Ag1Al0.5In0.5S1Se1_kesterite,Al_In,Neutral,2222.0000,-.12343516E+04,1,0
Ag1Al0.5In0.5S1Se1_kesterite,In_Al,Charged+1,2228,-.12273042E+04,1,0
Ag1Al0.5In0.5S1Se1_kesterite,In_Al,Charged+2,2227,-.12312566E+04,1,0
Ag1Al0.5In0.5S1Se1_kesterite,In_Al,Charged-1,2230,-.12192018E+04,1,0
Ag1Al0.5In0.5S1Se1_kesterite,In_Al,Charged-2,2231,-.12149989E+04,1,0
Ag1Al0.5In0.5S1Se1_kesterite,In_Al,Neutral,2229.0000,-.12232738E+04,1,0
Ag1Al0.5In0.5S1Se1_kesterite,In_S,Charged+1,2238,-.12323550E+04,1,0
Ag1Al0.5In0.5S1Se1_kesterite,In_S,Charged+2,2237,-.12365089E+04,1,0
Ag1Al0.5In0.5S1Se1_kesterite,In_S,Charged-1,2240,-.12229122E+04,1,0
Ag1Al0.5In0.5S1Se1_kesterite,In_S,Charged-2,2241,-.12179494E+04,1,0
Ag1Al0.5In0.5S1Se1_kesterite,In_S,Neutral,2239.0000,-.12276608E+04,1,0
Ag1Al0.5In0.5S1Se1_kesterite,S_Ag,Charged+1,2226,-.12352825E+04,1,0
Ag1Al0.5In0.5S1Se1_kesterite,S_Ag,Charged+2,2225,-.12392432E+04,1,0
Ag1Al0.5In0.5S1Se1_kesterite,S_Ag,Charged-1,2228,-.12248907E+04,1,0
Ag1Al0.5In0.5S1Se1_kesterite,S_Ag,Charged-2,2229,-.12201723E+04,1,0
Ag1Al0.5In0.5S1Se1_kesterite,S_Ag,Neutral,2227.0000,-.12295507E+04,1,0
Ag1Al0.5In0.5S1Se1_kesterite,Se_S,Charged+1,2231,-.12351589E+04,1,0
Ag1Al0.5In0.5S1Se1_kesterite,Se_S,Charged+2,2230,-.12391682E+04,1,0
Ag1Al0.5In0.5S1Se1_kesterite,Se_S,Charged-1,2233,-.12264922E+04,1,0
Ag1Al0.5In0.5S1Se1_kesterite,Se_S,Charged-2,2234,-.12217841E+04,1,0
Ag1Al0.5In0.5S1Se1_kesterite,Se_S,Neutral,2232.0000,-.12311180E+04,1,0
Ag1Al0.5In0.5S1Se1_kesterite,V_Al,Charged+1,2228,-.12273039E+04,1,0
Ag1Al0.5In0.5S1Se1_kesterite,V_Al,Charged+2,2227,-.12312699E+04,1,0
Ag1Al0.5In0.5S1Se1_kesterite,V_Al,Charged-1,2230,-.12191908E+04,1,0
Ag1Al0.5In0.5S1Se1_kesterite,V_Al,Charged-2,2231,-.12150063E+04,1,0
Ag1Al0.5In0.5S1Se1_kesterite,V_Al,Neutral,2229.0000,-.12232793E+04,1,0
Ag1Al0.5In0.5S1Se1_stannite,Al_S,Charged+1,2228,-.12317327E+04,1,0
Ag1Al0.5In0.5S1Se1_stannite,Al_S,Charged+2,2227,-.12360445E+04,1,0
Ag1Al0.5In0.5S1Se1_stannite,Al_S,Charged-1,2230,-.12225418E+04,1,0
Ag1Al0.5In0.5S1Se1_stannite,Al_S,Charged-2,2231,-.12177409E+04,1,0
Ag1Al0.5In0.5S1Se1_stannite,Al_S,Neutral,2229.0000,-.12271703E+04,1,0
Ag1Al0.5In0.5S1Se1_stannite,S_i,Charged+1,2237,-.12374710E+04,1,0
Ag1Al0.5In0.5S1Se1_stannite,S_i,Charged+2,2236,-.12417581E+04,1,0
Ag1Al0.5In0.5S1Se1_stannite,S_i,Charged-1,2239,-.12285507E+04,1,0
Ag1Al0.5In0.5S1Se1_stannite,S_i,Charged-2,2240,-.12239223E+04,1,0
Ag1Al0.5In0.5S1Se1_stannite,S_i,Neutral,2238.0000,-.12331294E+04,1,0
Ag1Al0.5In0.5S1Se1_stannite,Se_S,Charged+1,2231,-.12338120E+04,1,0
Ag1Al0.5In0.5S1Se1_stannite,Se_S,Charged+2,2230,-.12380632E+04,1,0
Ag1Al0.5In0.5S1Se1_stannite,Se_S,Charged-1,2233,-.12249772E+04,1,0
Ag1Al0.5In0.5S1Se1_stannite,Se_S,Charged-2,2234,-.12203830E+04,1,0
Ag1Al0.5In0.5S1Se1_stannite,Se_S,Neutral,2232.0000,-.12295228E+04,1,0
Ag1Al0.5In0.5S2_kesterite,In_Al,Charged+1,2228,-.12870226E+04,1,0
Ag1Al0.5In0.5S2_kesterite,In_Al,Charged+2,2227,-.12914711E+04,1,0
Ag1Al0.5In0.5S2_kesterite,In_Al,Charged-1,2230,-.12778939E+04,1,0
Ag1Al0.5In0.5S2_kesterite,In_Al,Charged-2,2231,-.12731484E+04,1,0
Ag1Al0.5In0.5S2_kesterite,In_Al,Neutral,2229.0000,-.12825091E+04,1,0
Ag1Al0.5In0.5S2_kesterite,V_Al,Charged+1,2228,-.12870278E+04,1,0
Ag1Al0.5In0.5S2_kesterite,V_Al,Charged+2,2227,-.12914760E+04,1,0
Ag1Al0.5In0.5S2_kesterite,V_Al,Charged-1,2230,-.12779008E+04,1,0
Ag1Al0.5In0.5S2_kesterite,V_Al,Charged-2,2231,-.12731498E+04,1,0
Ag1Al0.5In0.5S2_kesterite,V_Al,Neutral,2229.0000,-.12825111E+04,1,0
Ag1Al0.5In0.5Se2_kesterite,Al_Se,Charged+1,2228,-.11831620E+04,1,0
Ag1Al0.5In0.5Se2_kesterite,Al_Se,Charged+2,2227,-.11868217E+04,1,0
Ag1Al0.5In0.5Se2_kesterite,Al_Se,Charged-1,2230,-.11750580E+04,1,0
Ag1Al0.5In0.5Se2_kesterite,Al_Se,Charged-2,2231,-.11708531E+04,1,0
Ag1Al0.5In0.5Se2_kesterite,Al_Se,Neutral,2229.0000,-.11791397E+04,1,0
