compound,d_eform,d_edec,d_eps,d_slme,pass
Ag2Ba0.5Zn0.5Ge1S4_stannite,1.249999215247044e-09,1.000000082740371e-08,3.333333342681044e-08,0.0,True
Ag2Ba0.5Zn0.5Ge1Se4_kesterite,8.881784197001252e-16,0.0,3.333333342681044e-08,0.0,True
Ag2Ba0.5Zn0.5Ge1Se4_stannite,4.7500001265632363e-08,3.8000000301963155e-07,3.333333342681044e-08,0.0,True
Ag2Ba0.5Zn0.5Ge1Te4_stannite,7.343750008104166e-08,5.874999970956196e-07,0.0,,False
Ag2Ba0.5Zn0.5Sn1S4_kesterite,9.062500971879217e-09,7.250000066960638e-08,0.0,0.0,True
Ag2Ba0.5Zn0.5Sn1S4_stannite,1.0468750311076747e-08,8.374999538318662e-08,3.333333342681044e-08,0.0,True
Ag2Ba0.5Zn0.5Sn1Se4_kesterite,6.859375112355792e-08,5.487500089884634e-07,0.0,0.0,True
Ag2Ba0.5Zn0.5Sn1Se4_stannite,6.109375139118356e-08,4.887500111294685e-07,3.333333253863202e-08,9.999999999976694e-05,True
Ag2Ba0.5Zn0.5Sn1Te4_kesterite,3.937499970518843e-08,3.150000011942211e-07,3.333333431498886e-08,0.0,True
Ag2Ba0.5Zn0.5Sn1Te4_stannite,4.906249939651275e-08,3.9249999872481567e-07,3.333333431498886e-08,0.0,True
Ag2Ba0.5Zn0.5Zr1S4_kesterite,3.6093748878585075e-08,2.8875000168682163e-07,3.333333342681044e-08,0.0,True
Ag2Ba0.5Zn0.5Zr1S4_stannite,4.796874852885935e-08,3.8374999888901584e-07,4.440892098500626e-16,0.0,True
Ag2Ba0.5Zn0.5Zr1Se4_kesterite,5.499999877756068e-08,4.399999937731991e-07,0.0,0.0,True
Ag2Ba0.5Zn0.5Zr1Se4_stannite,7.484375119659603e-08,5.987500060200546e-07,3.333333342681044e-08,0.0,True
Ag2Ba0.5Zn0.5Zr1Te4_kesterite,2.0156249114222646e-08,1.6125000001920853e-07,3.333333431498886e-08,0.0,True
Ag2Ba0.5Zn0.5Zr1Te4_stannite,5.624999932507535e-08,4.5000000170603016e-07,3.333333342681044e-08,0.0,True
Ag2Ba1Ge0.5Zr0.5S4_kesterite,2.687500089137984e-08,2.14999992920184e-07,3.333333387089965e-08,0.0,True
Ag2Ba1Ge0.5Zr0.5S4_stannite,4.734375025350346e-08,3.78750009133455e-07,0.0,0.0,True
Ag2Ba1Ge0.5Zr0.5Se4_kesterite,1.3906251261630587e-08,1.1125000298761734e-07,0.0,0.0,True
Ag2Ba1Ge0.5Zr0.5Se4_stannite,4.79687507493054e-08,3.837500059944432e-07,3.333333342681044e-08,0.0,True
Ag2Ba1Ge0.5Zr0.5Te4_kesterite,1.1093749030521849e-08,8.874999934960215e-08,3.333333342681044e-08,0.0,True
Ag2Ba1Ge1S1Se1Te2_stannite,4.234375006184621e-08,3.387500058238402e-07,0.0,0.0,True
Ag2Ba1Ge1S1Se3_kesterite,5.5781249397313104e-08,4.462499987312185e-07,3.333333298272123e-08,0.0,True
Ag2Ba1Ge1S1Te3_kesterite,7.187500017380444e-08,5.750000013904355e-07,0.0,0.0,True
Ag2Ba1Ge1S2Se2_kesterite,4.999999969612645e-08,3.999999975690116e-07,3.333333342681044e-08,0.0,True
Ag2Ba1Ge1S2Se2_stannite,1.4999999908837935e-08,1.2000000282341716e-07,3.333333342681044e-08,0.0,True
Ag2Ba1Ge1S3Se1_kesterite,5.828124916007482e-08,4.6625000038602593e-07,3.333333387089965e-08,0.0,True
Ag2Ba1Ge1S3Se1_stannite,4.2968749447425125e-08,3.4375000268482836e-07,0.0,0.0,True
Ag2Ba1Ge1S4_kesterite,2.4375000240439704e-08,1.9499999837080395e-07,3.333333342681044e-08,0.0,True
Ag2Ba1Ge1S4_stannite,2.8124999662537675e-08,2.2500000085301508e-07,0.0,0.0,True
Ag2Ba1Ge1Se2Te2_stannite,3.453125074770469e-08,2.762500059816375e-07,3.333333342681044e-08,0.0,True
Ag2Ba1Ge1Se4_kesterite,3.062500075756702e-08,2.450000025078225e-07,0.0,0.0,True
Ag2Ba1Ge1Se4_stannite,3.1249999477012125e-08,2.499999993688107e-07,0.0,0.0,True
Ag2Ba1Ge1Te4_kesterite,0.0,0.0,0.0,0.0,True
Ag2Ba1Ge1Te4_stannite,2.687500000320142e-08,2.1500000002561137e-07,3.333333253863202e-08,0.0,True
Ag2Ba1Sn0.5Ge0.5S4_kesterite,3.593750008690222e-08,2.8750000069521775e-07,0.0,0.0,True
Ag2Ba1Sn0.5Ge0.5S4_stannite,3.484374921924882e-08,2.7874999375399057e-07,3.333333253863202e-08,0.0,True
Ag2Ba1Sn0.5Ge0.5Se4_kesterite,4.906250072878038e-08,3.925000129356704e-07,0.0,0.0,True
