compound,structure,eform_ev_atom,edecomp_ev_fu,gap_prescreen_ev,theory
Cs2Sr1Sn1Se3Te1,stannite,-0.5926,,0.103,PBEsol
Cs2Sr1Sn1Se4,kesterite,-1.1121,-0.1928,2.112,PBEsol
Cs2Sr1Sn1Se4,stannite,-1.0233,0.5178,1.353,PBEsol
Cs2Sr1Sn1Te4,kesterite,-0.8238,,1.265,PBEsol
Cs2Sr1Sn1Te4,stannite,-0.7398,,0.982,PBEsol
Cs2Sr1Zr1S1Se1Te2,stannite,-1.1766,1.081,1.536,PBEsol
Cs2Sr1Zr1S1Se2Te1,stannite,-1.0963,2.3363,1.85,PBEsol
Cs2Sr1Zr1S1Se3,stannite,-1.2243,1.9633,2.069,PBEsol
Cs2Sr1Zr1S1Te3,stannite,-0.8354,3.234,1.668,PBEsol
Cs2Sr1Zr1S2Se2,kesterite,-1.3044,1.4528,2.643,PBEsol
Cs2Sr1Zr1S2Se2,stannite,-1.2632,1.7826,2.225,PBEsol
Cs2Sr1Zr1S2Te2,stannite,-1.2018,1.0469,1.92,PBEsol
Cs2Sr1Zr1S3Se1,stannite,-1.2932,1.6932,2.253,PBEsol
Cs2Sr1Zr1S3Te1,stannite,-1.1658,2.099,1.961,PBEsol
Cs2Sr1Zr1S4,kesterite,-1.4918,0.2881,3.072,PBEsol
Cs2Sr1Zr1S4,stannite,-1.3728,1.24,1.95,PBEsol
Cs2Sr1Zr1Se2Te2,kesterite,-0.7415,4.448,1.168,PBEsol
Cs2Sr1Zr1Se3Te1,stannite,-0.8859,3.9157,1.599,PBEsol
Cs2Sr1Zr1Se4,kesterite,-1.3202,1.0988,2.623,PBEsol
Cs2Sr1Zr1Se4,stannite,-1.2417,1.7268,1.782,PBEsol
Cs2Sr1Zr1Te4,kesterite,-0.4375,5.7063,1.639,PBEsol
Cs2Zn0.5Cd0.5Ge1S4,stannite,-0.6934,0.0025,1.024,PBEsol
Cs2Zn0.5Cd0.5Ge1Se4,stannite,-0.6311,0.3266,0.411,PBEsol
Cs2Zn0.5Cd0.5Sn1S4,stannite,-0.7221,0.0492,1.123,PBEsol
Cs2Zn0.5Cd0.5Sn1Se4,stannite,-0.6828,0.2893,0.531,PBEsol
Cs2Zn0.5Cd0.5Zr1S4,kesterite,-1.2102,-0.4364,2.302,PBEsol
Cs2Zn0.5Cd0.5Zr1S4,stannite,-0.9187,1.8958,0.792,PBEsol
Cs2Zn0.5Cd0.5Zr1Se4,kesterite,-1.0773,0.089,1.807,PBEsol
Cs2Zn0.5Cd0.5Zr1Se4,stannite,-0.7483,2.7214,0.401,PBEsol
Cs2Zn1Ge0.5Zr0.5S4,stannite,-0.8764,0.5839,1.063,PBEsol
Cs2Zn1Ge0.5Zr0.5Se4,stannite,-0.6973,1.5736,0.707,PBEsol
Cs2Zn1Ge0.5Zr0.5Te4,stannite,-0.4985,,0.097,PBEsol
Cs2Zn1Ge1S1Se2Te1,stannite,-0.5444,,0.033,PBEsol
Cs2Zn1Ge1S2Se1Te1,stannite,-0.4085,,0.021,PBEsol
Cs2Zn1Ge1S2Se2,kesterite,-0.7225,-0.1992,2.135,PBEsol
Cs2Zn1Ge1S2Te2,kesterite,-0.49,,0.316,PBEsol
Cs2Zn1Ge1S3Se1,stannite,-0.5377,1.3548,0.732,PBEsol
Cs2Zn1Ge1S3Te1,stannite,-0.4383,,0.088,PBEsol
Cs2Zn1Ge1S4,kesterite,-0.8829,-1.2982,2.622,PBEsol
Cs2Zn1Ge1S4,stannite,-0.5222,1.5871,0.104,PBEsol
Cs2Zn1Ge1Se1Te3,stannite,-0.4268,,0.049,PBEsol
Cs2Zn1Ge1Se4,kesterite,-0.8026,-0.9172,2.012,PBEsol
Cs2Zn1Ge1Se4,stannite,-0.6279,0.4801,0.376,PBEsol
Cs2Zn1Ge1Te4,kesterite,-0.5708,,1.049,PBEsol
Cs2Zn1Ge1Te4,stannite,-0.3713,,0.175,PBEsol
Cs2Zn1Sn0.5Ge0.5S4,kesterite,-0.8082,-0.5805,2.564,PBEsol
Cs2Zn1Sn0.5Ge0.5S4,stannite,-0.711,0.1973,0.987,PBEsol
Cs2Zn1Sn0.5Ge0.5Se4,stannite,-0.6525,0.4539,0.433,PBEsol
Cs2Zn1Sn0.5Zr0.5S4,stannite,-0.7731,1.5482,0.886,PBEsol
Cs2Zn1Sn0.5Zr0.5Se4,stannite,-0.8279,0.717,0.712,PBEsol
Cs2Zn1Sn1S1Se1Te2,kesterite,-0.7031,,1.647,PBEsol
Cs2Zn1Sn1S1Se1Te2,stannite,-0.4628,,0.113,PBEsol
Cs2Zn1Sn1S1Se3,kesterite,-0.8091,-0.5961,2.011,PBEsol
Cs2Zn1Sn1S1Se3,stannite,-0.48,2.0364,0.516,PBEsol
Cs2Zn1Sn1S2Se1Te1,stannite,-0.3923,,0.183,PBEsol
Cs2Zn1Sn1S2Se2,stannite,-0.5158,1.7809,0.723,PBEsol
Cs2Zn1Sn1S2Te2,stannite,-0.5314,,0.221,PBEsol
Cs2Zn1Sn1S3Se1,stannite,-0.5353,1.6749,0.723,PBEsol
Cs2Zn1Sn1S4,kesterite,-0.8767,-0.973,2.36,PBEsol
Cs2Zn1Sn1S4,stannite,-0.542,1.7048,0.059,PBEsol
Cs2Zn1Sn1Se1Te3,kesterite,-0.6415,,1.502,PBEsol
Cs2Zn1Sn1Se2Te2,stannite,-0.5466,,0.157,PBEsol
Cs2Zn1Sn1Se4,kesterite,-0.8152,-0.6414,1.887,PBEsol
Cs2Zn1Sn1Se4,stannite,-0.6823,0.4211,0.528,PBEsol
Cs2Zn1Sn1Te4,kesterite,-0.6134,,1.173,PBEsol
Cs2Zn1Sn1Te4,stannite,-0.4383,,0.107,PBEsol
Cs2Zn1Zr1S1Se1Te2,kesterite,-0.9451,0.1944,1.334,PBEsol
Cs2Zn1Zr1S1Se1Te2,stannite,-0.8176,1.2144,0.016,PBEsol
Cs2Zn1Zr1S1Se2Te1,stannite,-0.9045,1.0972,0.123,PBEsol
Cs2Zn1Zr1S1Se3,kesterite,-1.1342,-0.125,1.889,PBEsol
Cs2Zn1Zr1S1Se3,stannite,-0.8452,2.1867,0.576,PBEsol
Cs2Zn1Zr1S2Se1Te1,stannite,-0.9255,1.0857,0.23,PBEsol
Cs2Zn1Zr1S2Se2,stannite,-0.8726,2.1138,0.616,PBEsol
Cs2Zn1Zr1S2Te2,stannite,-0.8282,1.3118,0.532,PBEsol
Cs2Zn1Zr1S3Se1,stannite,-0.9165,1.9289,0.708,PBEsol
Cs2Zn1Zr1S3Te1,stannite,-0.784,2.41,0.341,PBEsol
Cs2Zn1Zr1S4,kesterite,-1.1062,0.6104,2.145,PBEsol
Cs2Zn1Zr1S4,stannite,-0.9733,1.6735,0.875,PBEsol
Cs2Zn1Zr1Se2Te2,stannite,-0.79,1.3057,0.584,PBEsol
Cs2Zn1Zr1Se3Te1,stannite,-0.676,2.8059,0.333,PBEsol
Cs2Zn1Zr1Se4,kesterite,-0.9314,1.3844,1.633,PBEsol
Cs2Zn1Zr1Se4,stannite,-0.8145,2.3201,0.49,PBEsol
Cs2Zn1Zr1Te4,kesterite,-0.3818,3.4675,0.985,PBEsol
Cs2Zn1Zr1Te4,stannite,-0.6367,1.4287,0.428,PBEsol
Cu0.5Ag0.5Al0.5In0.5S1Se1,kesterite,-0.5375,-0.2272,0.554,PBEsol
Cu0.5Ag0.5Al0.5In0.5S1Se1,stannite,-0.5551,-0.2975,0.324,PBEsol
Cu0.5Ag0.5Al0.5In0.5S1Te1,kesterite,-0.3645,-0.0862,0.489,PBEsol
Cu0.5Ag0.5Al0.5In0.5S1Te1,stannite,-0.3843,-0.1654,0.336,PBEsol
Cu0.5Ag0.5Al0.5In0.5S2,kesterite,-0.6137,-0.315,0.703,PBEsol
Cu0.5Ag0.5Al0.5In0.5S2,stannite,-0.6137,-0.315,0.594,PBEsol
Cu0.5Ag0.5Al0.5In0.5Se2,kesterite,-0.4983,-0.2158,0.31,PBEsol
Cu0.5Ag0.5Al0.5In0.5Se2,stannite,-0.4998,-0.2219,0.113,PBEsol
Cu0.5Ag0.5Al1S1Te1,kesterite,-0.483,-0.1531,1.029,PBEsol
Cu0.5Ag0.5Al1S1Te1,stannite,-0.4644,-0.0787,0.142,PBEsol
Cu0.5Ag0.5Al1S2,kesterite,-0.7789,-0.3563,1.729,PBEsol
Cu0.5Ag0.5Al1S2,stannite,-0.7722,-0.3297,1.369,PBEsol
Cu0.5Ag0.5Al1Se1Te1,kesterite,-0.4353,-0.2428,1.036,PBEsol
Cu0.5Ag0.5Al1Se1Te1,stannite,-0.4145,-0.1594,0.439,PBEsol
Cu0.5Ag0.5Al1Se2,kesterite,-0.6051,-0.2217,1.026,PBEsol
Cu0.5Ag0.5Al1Se2,stannite,-0.5952,-0.182,0.683,PBEsol
Cu0.5Ag0.5Al1Te2,kesterite,-0.2873,-0.2797,1.147,PBEsol
Cu0.5Ag0.5Al1Te2,stannite,-0.2768,-0.2374,0.709,PBEsol
Cu0.5Ag0.5Ga0.5In0.5S2,kesterite,-0.4927,-0.3005,0.478,PBEsol
Cu0.5Ag0.5Ga0.5In0.5S2,stannite,-0.4987,-0.3248,0.262,PBEsol
Cu0.5Ag0.5Ga0.5In0.5Se2,kesterite,-0.4197,-0.2187,0.017,PBEsol
Cu0.5Ag0.5Ga0.5In0.5Se2,stannite,-0.423,-0.2316,0.0,PBEsol
Cu0.5Ag0.5Ga0.5In0.5Te2,kesterite,-0.2085,-0.313,0.217,PBEsol
Cu0.5Ag0.5Ga0.5In0.5Te2,stannite,-0.2112,-0.3238,0.064,PBEsol
Cu0.5Ag0.5Ga1S1Te1,kesterite,-0.3321,-0.1732,0.475,PBEsol
Cu0.5Ag0.5Ga1S1Te1,stannite,-0.3193,-0.1224,0.045,PBEsol
Cu0.5Ag0.5Ga1S2,kesterite,-0.5437,-0.3551,0.912,PBEsol
Cu0.5Ag0.5Ga1S2,stannite,-0.5397,-0.3392,0.575,PBEsol
Cu0.5Ag0.5Ga1Se2,kesterite,-0.4459,-0.2185,0.239,PBEsol
Cu0.5Ag0.5Ga1Se2,stannite,-0.4376,-0.1855,0.435,PBEsol
Cu0.5Ag0.5Ga1Te2,kesterite,-0.2195,-0.3162,0.375,PBEsol
Cu0.5Ag0.5Ga1Te2,stannite,-0.2112,-0.2833,0.1,PBEsol
Cu0.5Ag0.5In1S2,kesterite,-0.4484,-0.2375,0.17,PBEsol
Cu0.5Ag0.5In1S2,stannite,-0.4533,-0.2568,1.06,PBEsol
Cu0.5Ag0.5In1Se1Te1,kesterite,-0.2955,-0.264,0.011,PBEsol
Cu0.5Ag0.5In1Se1Te1,stannite,-0.2927,-0.2527,0.0,PBEsol
Cu0.5Ag0.5In1Se2,kesterite,-0.4025,-0.2188,0.036,PBEsol
Cu0.5Ag0.5In1Se2,stannite,-0.3977,-0.1995,0.51,PBEsol
Cu0.5Ag0.5In1Te2,kesterite,-0.2073,-0.313,0.142,PBEsol
Cu0.5Ag0.5In1Te2,stannite,-0.2062,-0.3085,0.203,PBEsol
Cu0.5Ag1.5Ba1Ge1Se4,kesterite,-0.542,0.7974,0.438,PBEsol
Cu0.5Ag1.5Ba1Sn1Se4,kesterite,-0.572,0.9338,0.414,PBEsol
Cu0.5Ag1.5Ba1Zr1S4,kesterite,-1.0075,1.0209,1.354,PBEsol
Cu0.5Ag1.5Ba1Zr1Se4,kesterite,-0.8664,1.5351,1.1,PBEsol
Cu0.5Ag1.5Ba1Zr1Te4,kesterite,-0.4643,2.437,0.712,PBEsol
Cu0.5Ag1.5Ca1Ge1S4,kesterite,-0.6718,0.2157,1.31,PBEsol
Cu0.5Ag1.5Ca1Ge1Se4,stannite,-0.595,0.3913,0.802,PBEsol
Cu0.5Ag1.5Ca1Ge1Te4,stannite,-0.3499,,0.701,PBEsol
Cu0.5Ag1.5Ca1Sn1S4,stannite,-0.6941,0.3127,0.886,PBEsol
Cu0.5Ag1.5Ca1Sn1Se4,kesterite,-0.5961,0.7594,0.569,PBEsol
Cu0.5Ag1.5Ca1Sn1Se4,stannite,-0.6086,0.6593,0.538,PBEsol
Cu0.5Ag1.5Ca1Sn1Te4,kesterite,-0.3074,,0.617,PBEsol
Cu0.5Ag1.5Ca1Sn1Te4,stannite,-0.3712,,0.627,PBEsol
Cu0.5Ag1.5Ca1Zr1S4,stannite,-1.0327,1.0239,1.504,PBEsol
Cu0.5Ag1.5Ca1Zr1Se4,kesterite,-0.8751,1.4837,1.347,PBEsol
Cu0.5Ag1.5Ca1Zr1Se4,stannite,-0.8756,1.4797,1.203,PBEsol
Cu0.5Ag1.5Ca1Zr1Te4,stannite,-0.4749,2.1353,0.592,PBEsol
Cu0.5Ag1.5Cd1Ge1S4,kesterite,-0.3563,-0.4292,0.742,PBEsol
Cu0.5Ag1.5Cd1Ge1S4,stannite,-0.3511,-0.3873,0.488,PBEsol
Cu0.5Ag1.5Cd1Ge1Se4,kesterite,-0.2921,-0.1541,0.137,PBEsol
Cu0.5Ag1.5Cd1Ge1Se4,stannite,-0.2859,-0.1047,0.64,PBEsol
Cu0.5Ag1.5Cd1Ge1Te4,kesterite,-0.0726,,0.229,PBEsol
Cu0.5Ag1.5Cd1Ge1Te4,stannite,-0.071,,0.045,PBEsol
Cu0.5Ag1.5Cd1Sn1S4,kesterite,-0.3579,-0.1662,0.3,PBEsol
Cu0.5Ag1.5Cd1Sn1S4,stannite,-0.3561,-0.1514,0.162,PBEsol
Cu0.5Ag1.5Cd1Sn1Se4,kesterite,-0.3168,0.0246,0.061,PBEsol
Cu0.5Ag1.5Cd1Sn1Se4,stannite,-0.3133,0.0523,0.0,PBEsol
Cu0.5Ag1.5Cd1Sn1Te4,kesterite,-0.0859,,0.225,PBEsol
Cu0.5Ag1.5Cd1Zr1S4,stannite,-0.6883,0.6104,1.173,PBEsol
Cu0.5Ag1.5Cd1Zr1Se4,kesterite,-0.5633,1.0084,1.089,PBEsol
Cu0.5Ag1.5Cd1Zr1Se4,stannite,-0.5628,1.0126,0.919,PBEsol
Cu0.5Ag1.5Cd1Zr1Te4,kesterite,-0.2175,1.6436,0.558,PBEsol
Cu0.5Ag1.5Mg1Ge1S4,kesterite,-0.5563,-0.2839,1.207,PBEsol
Cu0.5Ag1.5Mg1Ge1S4,stannite,-0.5446,-0.1907,0.851,PBEsol
Cu0.5Ag1.5Mg1Ge1Se4,kesterite,-0.4529,-0.1106,0.561,PBEsol
Cu0.5Ag1.5Mg1Ge1Se4,stannite,-0.4414,-0.0191,0.229,PBEsol
Cu0.5Ag1.5Mg1Ge1Te4,kesterite,-0.1896,,0.446,PBEsol
Cu0.5Ag1.5Mg1Ge1Te4,stannite,-0.1772,,0.251,PBEsol
Cu0.5Ag1.5Mg1Sn1S4,kesterite,-0.5556,-0.0029,0.703,PBEsol
Cu0.5Ag1.5Mg1Sn1S4,stannite,-0.5501,0.0412,0.479,PBEsol
Cu0.5Ag1.5Mg1Sn1Se4,kesterite,-0.482,0.033,0.304,PBEsol
Cu0.5Ag1.5Mg1Sn1Se4,stannite,-0.4747,0.0911,0.053,PBEsol
Cu0.5Ag1.5Mg1Sn1Te4,kesterite,-0.2274,,0.464,PBEsol
Cu0.5Ag1.5Mg1Sn1Te4,stannite,-0.22,,0.252,PBEsol
Cu0.5Ag1.5Mg1Zr1S4,stannite,-0.8903,0.7392,1.484,PBEsol
Cu0.5Ag1.5Mg1Zr1Se4,kesterite,-0.7335,0.9769,1.352,PBEsol
Cu0.5Ag1.5Mg1Zr1Se4,stannite,-0.7336,0.976,1.247,PBEsol
Cu0.5Ag1.5Mg1Zr1Te4,kesterite,-0.361,1.3898,0.869,PBEsol
Cu0.5Ag1.5Mg1Zr1Te4,stannite,-0.3575,1.4173,0.842,PBEsol
Cu0.5Ag1.5Sr1Ge1S4,kesterite,-0.6661,0.2499,1.091,PBEsol
Cu0.5Ag1.5Sr1Sn1Se4,kesterite,-0.5933,0.8571,0.52,PBEsol
Cu0.5Ag1.5Sr1Sn1Te4,stannite,-0.3098,,0.824,PBEsol
Cu0.5Ag1.5Zn0.5Cd0.5Ge1S3Te1,kesterite,-0.2898,,0.249,PBEsol
Cu0.5Ag1.5Zn1Ge1S4,stannite,-0.3814,-0.2351,0.545,PBEsol
Cu0.5Ag1.5Zn1Ge1Se4,kesterite,-0.3225,-0.1769,0.201,PBEsol
Cu0.5Ag1.5Zn1Ge1Se4,stannite,-0.2975,0.0227,0.0,PBEsol
Cu0.5Ag1.5Zn1Ge1Te4,kesterite,-0.1006,,0.323,PBEsol
Cu0.5Ag1.5Zn1Ge1Te4,stannite,-0.0791,,0.204,PBEsol
Cu0.5Ag1.5Zn1Sn1S4,kesterite,-0.4041,-0.141,0.46,PBEsol
Cu0.5Ag1.5Zn1Sn1S4,stannite,-0.3929,-0.0514,0.186,PBEsol
Cu0.5Ag1.5Zn1Sn1Se4,kesterite,-0.3482,-0.0064,0.023,PBEsol
Cu0.5Ag1.5Zn1Sn1Se4,stannite,-0.3353,0.0971,0.0,PBEsol
Cu0.5Ag1.5Zn1Sn1Te4,kesterite,-0.1322,,0.273,PBEsol
Cu0.5Ag1.5Zn1Sn1Te4,stannite,-0.1172,,0.151,PBEsol
Cu0.5Ag1.5Zn1Zr1S4,kesterite,-0.7324,0.6521,1.236,PBEsol
Cu0.5Ag1.5Zn1Zr1S4,stannite,-0.7268,0.6969,1.189,PBEsol
Cu0.5Ag1.5Zn1Zr1Se4,kesterite,-0.5911,1.0063,0.986,PBEsol
Cu0.5Ag1.5Zn1Zr1Se4,stannite,-0.5847,1.0581,0.868,PBEsol
Cu0.5Ag1.5Zn1Zr1Te4,kesterite,-0.2496,1.4379,0.477,PBEsol
Cu0.5Ag1.5Zn1Zr1Te4,stannite,-0.2464,1.4635,0.482,PBEsol
Cu1.5Ag0.5Ba1Ge1S4,kesterite,-0.6361,0.4749,0.697,PBEsol
Cu1.5Ag0.5Ba1Ge1S4,stannite,-0.7782,-0.6615,0.792,PBEsol
Cu1.5Ag0.5Ba1Ge1Se4,kesterite,-0.5252,0.8955,0.194,PBEsol
Cu1.5Ag0.5Ba1Ge1Te4,kesterite,-0.2967,,0.057,PBEsol
Cu1.5Ag0.5Ba1Sn1S4,kesterite,-0.6565,0.5881,0.179,PBEsol
Cu1.5Ag0.5Ba1Sn1S4,stannite,-0.7547,-0.1982,0.274,PBEsol
Cu1.5Ag0.5Ba1Sn1Se4,kesterite,-0.5516,1.0611,0.173,PBEsol
Cu1.5Ag0.5Ba1Sn1Se4,stannite,-0.6835,0.0057,0.245,PBEsol
Cu1.5Ag0.5Ba1Sn1Te4,kesterite,-0.1962,,0.147,PBEsol
Cu1.5Ag0.5Ba1Sn1Te4,stannite,-0.3135,,0.457,PBEsol
Cu1.5Ag0.5Ba1Zr1S4,kesterite,-1.0089,1.1882,0.984,PBEsol
Cu1.5Ag0.5Ba1Zr1S4,stannite,-1.0871,0.5626,0.823,PBEsol
Cu1.5Ag0.5Ba1Zr1Se4,kesterite,-0.8472,1.6521,0.77,PBEsol
Cu1.5Ag0.5Ba1Zr1Te4,stannite,-0.4037,2.647,0.391,PBEsol
Cu1.5Ag0.5Ca0.5Zn0.5Ge1S1Se2Te1,kesterite,-0.4042,,0.335,PBEsol
Cu1.5Ag0.5Ca0.5Zn0.5Ge1S1Se2Te1,stannite,-0.4344,,0.199,PBEsol
Cu1.5Ag0.5Ca1Ge1Se4,kesterite,-0.5747,0.5176,0.565,PBEsol
Cu1.5Ag0.5Ca1Ge1Se4,stannite,-0.6085,0.2472,0.743,PBEsol
Cu1.5Ag0.5Ca1Ge1Te4,kesterite,-0.2539,,0.37,PBEsol
Cu1.5Ag0.5Ca1Ge1Te4,stannite,-0.2892,,0.649,PBEsol
Cu1.5Ag0.5Ca1Sn1S4,kesterite,-0.6968,0.4698,0.738,PBEsol
Cu1.5Ag0.5Ca1Sn1S4,stannite,-0.7145,0.3283,0.893,PBEsol
Cu1.5Ag0.5Ca1Sn1Se4,kesterite,-0.6081,0.6266,0.331,PBEsol
Cu1.5Ag0.5Ca1Sn1Se4,stannite,-0.6285,0.4635,0.44,PBEsol
Cu1.5Ag0.5Ca1Sn1Te4,kesterite,-0.267,,0.455,PBEsol
Cu1.5Ag0.5Ca1Sn1Te4,stannite,-0.2841,,0.778,PBEsol
Cu1.5Ag0.5Ca1Zr1S4,kesterite,-1.0389,1.1523,1.223,PBEsol
Cu1.5Ag0.5Ca1Zr1S4,stannite,-1.0498,1.0652,1.253,PBEsol
Cu1.5Ag0.5Ca1Zr1Se4,kesterite,-0.8642,1.5345,1.042,PBEsol
Cu1.5Ag0.5Ca1Zr1Se4,stannite,-0.8797,1.41,1.102,PBEsol
Cu1.5Ag0.5Ca1Zr1Te4,stannite,-0.4265,2.247,0.45,PBEsol
Cu1.5Ag0.5Cd1Ge1S4,kesterite,-0.3911,-0.5294,0.677,PBEsol
Cu1.5Ag0.5Cd1Ge1S4,stannite,-0.3985,-0.5886,0.496,PBEsol
Cu1.5Ag0.5Cd1Ge1Se4,kesterite,-0.3098,-0.3322,0.051,PBEsol
Cu1.5Ag0.5Cd1Ge1Se4,stannite,-0.3145,-0.3698,0.551,PBEsol
Cu1.5Ag0.5Cd1Ge1Te4,kesterite,-0.1122,,0.041,PBEsol
Cu1.5Ag0.5Cd1Ge1Te4,stannite,-0.1192,,0.041,PBEsol
Cu1.5Ag0.5Cd1Sn1S4,kesterite,-0.3953,-0.2868,0.187,PBEsol
Cu1.5Ag0.5Cd1Sn1S4,stannite,-0.3975,-0.3046,0.131,PBEsol
Cu1.5Ag0.5Cd1Sn1Se4,kesterite,-0.3333,-0.1434,0.505,PBEsol
Cu1.5Ag0.5Cd1Sn1Se4,stannite,-0.3351,-0.1581,0.461,PBEsol
Cu1.5Ag0.5Cd1Sn1Te4,kesterite,-0.0819,,0.083,PBEsol
Cu1.5Ag0.5Cd1Sn1Te4,stannite,-0.0825,,0.099,PBEsol
Cu1.5Ag0.5Cd1Zr1S4,stannite,-0.7222,0.517,1.069,PBEsol
Cu1.5Ag0.5Cd1Zr1Se4,stannite,-0.5736,0.8899,0.873,PBEsol
Cu1.5Ag0.5Cd1Zr1Te4,kesterite,-0.2719,0.933,0.582,PBEsol
Cu1.5Ag0.5Cd1Zr1Te4,stannite,-0.2658,0.9821,0.363,PBEsol
Cu1.5Ag0.5Mg0.5Ca0.5Sn0.5Ge0.5S1Se2Te1,kesterite,-0.4946,,0.187,PBEsol
Cu1.5Ag0.5Mg1Ge1S4,kesterite,-0.5914,-0.3864,1.098,PBEsol
Cu1.5Ag0.5Mg1Ge1S4,stannite,-0.5938,-0.4061,0.89,PBEsol
Cu1.5Ag0.5Mg1Ge1Se4,kesterite,-0.4692,-0.2775,0.416,PBEsol
Cu1.5Ag0.5Mg1Ge1Se4,stannite,-0.4691,-0.277,0.262,PBEsol
Cu1.5Ag0.5Mg1Ge1Te4,kesterite,-0.1808,,0.223,PBEsol
Cu1.5Ag0.5Mg1Ge1Te4,stannite,-0.191,,0.291,PBEsol
Cu1.5Ag0.5Mg1Sn1S4,kesterite,-0.5913,-0.1097,0.594,PBEsol
Cu1.5Ag0.5Mg1Sn1S4,stannite,-0.5921,-0.1163,0.454,PBEsol
Cu1.5Ag0.5Mg1Sn1Se4,kesterite,-0.4952,-0.1092,0.177,PBEsol
Cu1.5Ag0.5Mg1Sn1Se4,stannite,-0.4932,-0.0931,0.063,PBEsol
Cu1.5Ag0.5Mg1Sn1Te4,kesterite,-0.2075,,0.281,PBEsol
Cu1.5Ag0.5Mg1Sn1Te4,stannite,-0.2067,,0.31,PBEsol
Cu1.5Ag0.5Mg1Zr1S4,kesterite,-0.9207,0.674,1.395,PBEsol
Cu1.5Ag0.5Mg1Zr1S4,stannite,-0.923,0.6561,1.262,PBEsol
Cu1.5Ag0.5Mg1Zr1Se4,kesterite,-0.7392,0.8949,1.2,PBEsol
Cu1.5Ag0.5Mg1Zr1Se4,stannite,-0.7416,0.8758,1.049,PBEsol
Cu1.5Ag0.5Mg1Zr1Te4,kesterite,-0.3329,1.3388,0.796,PBEsol
Cu1.5Ag0.5Mg1Zr1Te4,stannite,-0.331,1.3544,0.705,PBEsol
Cu1.5Ag0.5Sr0.5Ba0.5Sn0.5Ge0.5Se3Te1,stannite,-0.5961,,0.101,PBEsol
Cu1.5Ag0.5Sr0.5Zn0.5Ge1S1Se1Te2,kesterite,-0.3192,,0.158,PBEsol
Cu1.5Ag0.5Sr0.5Zn0.5Ge1S1Se1Te2,stannite,-0.3897,,0.052,PBEsol
Cu1.5Ag0.5Sr1Ge1Te4,kesterite,-0.2712,,0.16,PBEsol
Cu1.5Ag0.5Sr1Ge1Te4,stannite,-0.2666,,0.636,PBEsol
Cu1.5Ag0.5Sr1Sn1S4,kesterite,-0.6762,0.6227,0.538,PBEsol
Cu1.5Ag0.5Sr1Sn1S4,stannite,-0.7416,0.0998,0.423,PBEsol
Cu1.5Ag0.5Sr1Sn1Se4,stannite,-0.6106,0.6824,0.533,PBEsol
Cu1.5Ag0.5Sr1Zr1S4,kesterite,-1.0332,1.1861,1.145,PBEsol
Cu1.5Ag0.5Sr1Zr1Se4,kesterite,-0.861,1.6356,0.948,PBEsol
Cu1.5Ag0.5Sr1Zr1Se4,stannite,-0.8658,1.5972,0.973,PBEsol
Cu1.5Ag0.5Sr1Zr1Te4,kesterite,-0.5131,1.7381,0.509,PBEsol
Cu1.5Ag0.5Sr1Zr1Te4,stannite,-0.4661,2.1145,0.24,PBEsol
Cu1.5Ag0.5Zn1Ge1S4,kesterite,-0.4485,-0.5938,0.82,PBEsol
Cu1.5Ag0.5Zn1Ge1S4,stannite,-0.4381,-0.5106,0.542,PBEsol
Cu1.5Ag0.5Zn1Ge1Se4,kesterite,-0.3456,-0.3985,0.15,PBEsol
Cu1.5Ag0.5Zn1Ge1Se4,stannite,-0.3338,-0.304,0.0,PBEsol
Cu1.5Ag0.5Zn1Ge1Te4,kesterite,-0.1077,,0.11,PBEsol
Cu1.5Ag0.5Zn1Ge1Te4,stannite,-0.0976,,0.042,PBEsol
Cu1.5Ag0.5Zn1Sn1S4,kesterite,-0.4467,-0.3035,0.353,PBEsol
Cu1.5Ag0.5Zn1Sn1S4,stannite,-0.4432,-0.2757,0.156,PBEsol
Cu1.5Ag0.5Zn1Sn1Se4,kesterite,-0.3682,-0.2025,0.049,PBEsol
Cu1.5Ag0.5Zn1Sn1Se4,stannite,-0.3632,-0.1626,0.0,PBEsol
Cu1.5Ag0.5Zn1Sn1Te4,kesterite,-0.1331,,0.177,PBEsol
Cu1.5Ag0.5Zn1Sn1Te4,stannite,-0.1188,,0.032,PBEsol
Cu1.5Ag0.5Zn1Zr1S4,kesterite,-0.7687,0.5397,1.084,PBEsol
Cu1.5Ag0.5Zn1Zr1S4,stannite,-0.7683,0.5429,1.095,PBEsol
Cu1.5Ag0.5Zn1Zr1Se4,kesterite,-0.6061,0.8499,0.853,PBEsol
Cu1.5Ag0.5Zn1Zr1Se4,stannite,-0.5999,0.8995,0.827,PBEsol
Cu1.5Ag0.5Zn1Zr1Te4,kesterite,-0.2347,1.2813,0.434,PBEsol
Cu1.5Ag0.5Zn1Zr1Te4,stannite,-0.2337,1.2896,0.488,PBEsol
Cu1Ag1Ba1Ge1S4,stannite,-0.7351,-0.4097,1.253,PBEsol
Cu1Ag1Ba1Ge1Te4,kesterite,-0.2749,,0.031,PBEsol
Cu1Ag1Ba1Ge1Te4,stannite,-0.4115,,0.24,PBEsol
Cu1Ag1Ba1Sn1Se4,stannite,-0.6145,0.5727,0.54,PBEsol
Cu1Ag1Ba1Zr1S4,kesterite,-1.0019,1.1514,1.079,PBEsol
